
[00:00:00.000 --> 00:00:03.440]   Okay, so good afternoon.
[00:56:09.640 --> 00:56:15.640]   That's the nearest neighbor. That's essentially this one. Right? So it's simply,
[00:56:15.640 --> 00:56:29.400]   you know, it's essentially just applying for each value. You are copied to all the nearest pixels
[00:56:29.400 --> 00:56:39.000]   you copy over the value. In the Fourier domain, this essentially has all of these lobes here.
[00:56:39.000 --> 00:56:45.320]   Right? So in the Fourier domain, it means that you're now adding all of these high frequencies
[00:56:45.320 --> 00:56:50.760]   at this repeated thing. So that's what you have here. You add all these high frequencies. Those
[00:56:50.760 --> 00:56:55.320]   are not in the original signal, but you kind of add them in the reconstruction process.
[00:56:55.320 --> 00:57:01.880]   So those high frequencies are essentially these additional lobes, artificial lobes. Those actually
[00:57:01.880 --> 00:57:08.280]   shouldn't be there, but you're just adding them in, you know, just by using this nearest neighbor,
[00:57:08.280 --> 00:57:14.200]   essentially copy the value over to all your neighbors. Okay. The next one is by linear
[00:57:14.200 --> 00:57:20.440]   interpolation. Okay. So this was essentially, it's a function that looks like it's maximal
[00:57:20.440 --> 00:57:25.080]   also at the value itself, but then it linearly decreases until, you know, like where you hit
[00:57:25.080 --> 00:57:31.160]   the next pixel. So the first one was like this, right? Until half the pixel on both sides, it would
[00:57:31.160 --> 00:57:37.000]   be constant and then zero. This one is linear from where the pixel is to the next pixel it
[00:57:37.000 --> 00:57:42.200]   linearly degrades. Same in both directions. And so it ends up with this kind of function,
[00:57:42.200 --> 00:57:49.400]   actually, you know, like, so that the, so in two dimensions it's a bit more complicated,
[00:57:49.400 --> 00:57:53.800]   but essentially it ends up with that effect. Okay. In the Fourier domain, it looks like this here,
[00:57:53.800 --> 00:57:59.720]   which is not perfect. You can't see very much here, but essentially we'll see on the next
[00:57:59.720 --> 00:58:05.720]   slide, actually, you may get there. Okay. The first one was just a box, but if we actually
[00:58:05.720 --> 00:58:12.360]   take a box and convolve it with a box, okay, so we convolve a box with a box, then we get
[00:58:12.360 --> 00:58:18.040]   actually this here. If you actually look at this, so this was the original reconstruction filter,
[00:58:18.040 --> 00:58:23.800]   the nearest neighbor, right, from half a pixel to minus half to plus half. So it's really this
[00:58:23.800 --> 00:58:29.800]   constant. If you convolve that with itself, you actually get this function, which interestingly
[00:58:29.800 --> 00:58:36.280]   enough goes, you know, starts from twice as far. So from like the next pixel value, it starts going
[00:58:36.280 --> 00:58:41.720]   up until it's maximal here, and then it decreases from there linearly to the next pixel. So it's
[00:58:41.720 --> 00:58:47.560]   one here, but it's so at this place, you just really have that value. You copy over that value,
[00:58:47.560 --> 00:58:51.080]   but from there it linearly decreases until you get to the next pixel.
[00:58:53.640 --> 00:58:59.320]   So we've seen, so this is, you know, the, by the way, so this graph that you see, right, it's
[00:58:59.320 --> 00:59:05.400]   this, so the blue is the pixel centered here. The red is a convolution with, you know, it's
[00:59:05.400 --> 00:59:12.280]   what you will convolve with, with the same box. And then the yellow area is the area in common,
[00:59:12.280 --> 00:59:17.560]   and that's essentially the overlapping area. So when you multiply, when you convolve at every
[00:59:17.560 --> 00:59:22.760]   value, you kind of overlap, you do the integral, you get, and so the yellow is the integral,
[00:59:22.760 --> 00:59:28.520]   and so that's the, the value, and so you see kind of as the integral grows and shrink,
[00:59:28.520 --> 00:59:32.360]   you get the function to go up and down. Okay, so that's essentially a visualization
[00:59:32.360 --> 00:59:38.680]   of the convolution operation here, with, in the very simple case of two boxes, you know,
[00:59:38.680 --> 00:59:44.040]   one box convolving with another box. Okay, so this is the area under the product of the functions.
[00:59:44.760 --> 00:59:53.400]   Here, the yellow here. Okay, so what did we learn from the convolution theorem?
[00:59:53.400 --> 01:00:01.400]   If we convolve in the spatial domain, it's a product in the frequency domain, right? That was
[01:00:01.400 --> 01:00:05.560]   one of the two sides of the convolution theorem. So in other words, if we take that function,
[01:00:05.560 --> 01:00:12.520]   that decreases, you know, that is this sine function that decreases with one over x, that was
[01:00:12.520 --> 01:00:21.400]   what that function was. If, if we convolve that with itself, then in the frequency domain,
[01:00:21.400 --> 01:00:27.480]   it's a product with itself. Okay, so we get that sine function squared. Okay, so instead of going
[01:00:27.480 --> 01:00:33.800]   down slowly, it now go down, you know, like it ends, it ends up being suppressed, not by one over x,
[01:00:33.800 --> 01:00:40.040]   but one over x squared. Okay, so it goes much faster to zero. Okay, so that's what you kind of see
[01:00:40.040 --> 01:00:44.440]   here. There you still see a few of the extra lobes, although they're smaller, but you still see them.
[01:00:44.440 --> 01:00:50.040]   Here you don't see them anymore, at least not, I think, I can barely see them here also, but
[01:00:50.040 --> 01:00:54.040]   anyway, certainly on this here with, you know, barely any contrast here, you can't see them at
[01:00:54.040 --> 01:01:00.200]   all anymore, these secondary lobes. Okay, then if you actually think of the Gaussian, what is a Gaussian?
[01:01:00.200 --> 01:01:07.080]   Anybody of you here of the central limit theorem? That's also a way to get to the Gaussian, right?
[01:01:07.080 --> 01:01:11.800]   So the Gaussian is actually convolution of infinite amount of convolutions of boxes or other things
[01:01:11.800 --> 01:01:17.640]   with it, like you convolve every possible shape, like you keep convolving, eventually you'll end up
[01:01:17.640 --> 01:01:27.240]   with a Gaussian. In particular, if you would keep convolving boxes, oops, sorry, if you keep convolving,
[01:01:27.240 --> 01:01:31.320]   you know, so you get like this and you reconvolve that with itself and you reconvolve that with
[01:01:31.320 --> 01:01:35.480]   and so on, you keep going, you'll eventually have a Gaussian. That's what the central limit theorem says.
[01:01:36.920 --> 01:01:41.640]   So in a sense, if we keep going from, you know, the original square and then we
[01:01:41.640 --> 01:01:45.000]   convolve it with itself and then we would keep convolving in the limit, that's what we get.
[01:01:45.000 --> 01:01:53.560]   Interestingly enough. And then of course we have the, even further, so this one is the one that is
[01:01:53.560 --> 01:02:00.120]   kind of as compact as possible in both domains, right? This one is very compact in a spatial domain,
[01:02:00.120 --> 01:02:05.480]   but very non-compact in the frequency domain. This one is the opposite, the one that's the
[01:02:05.480 --> 01:02:11.880]   best trade-off between both is the Gaussian. So it's spatially a Gaussian, it's in the Fourier
[01:02:11.880 --> 01:02:18.600]   domain also a Gaussian. And then here is the perfect reconstruction filter, except that it's,
[01:02:18.600 --> 01:02:24.040]   it has a really large extent. And to not make errors, you need to actually, so it's not a
[01:02:24.040 --> 01:02:31.240]   practical one. So practically people would either use this or use the Gaussian.
[01:02:35.160 --> 01:02:44.200]   Okay, so here's an example of designing the perfect low-pass filter. Okay, so it's not very
[01:02:44.200 --> 01:02:49.000]   complicated. So here you have the original, an image here with some, you know, some specific
[01:02:49.000 --> 01:02:55.480]   patterns and this and that. You take the, this is only MATLAB, you take the Fourier transform,
[01:02:55.480 --> 01:03:01.880]   you get this. Notice that these strong edges in certain orientations are also showing up here
[01:03:01.880 --> 01:03:06.520]   in those frequencies, with high frequencies in those particular orientations, so on.
[01:03:06.520 --> 01:03:14.200]   Then if you want to low-pass filter this, well, you would want to essentially
[01:03:14.200 --> 01:03:20.520]   multiply this with a low-pass filter, a perfect low-pass filter. In this case in 2D, it would be,
[01:03:20.520 --> 01:03:26.600]   you could do a circle. And then essentially the product would be this. Okay, so that's a
[01:03:26.600 --> 01:03:32.040]   perfect low-pass filter. Essentially everything here is preserved, everything outside of a
[01:03:32.040 --> 01:03:37.400]   particular frequency range is exactly moved to zero. That's essentially the result here.
[01:03:37.400 --> 01:03:49.320]   So this also shows that the kind of perfect low-pass filter is not only by suppressing these
[01:03:50.200 --> 01:03:56.520]   low-pass, by suppressing these high frequencies, we see that we do get some kind of funny artifacts
[01:03:56.520 --> 01:04:03.400]   here. So we get kind of ghost boundaries to show up and so on. So just doing a perfect low-pass
[01:04:03.400 --> 01:04:09.400]   filtering is maybe also not what we want. The problem is that this filter has an infinite extent.
[01:04:09.400 --> 01:04:16.920]   And so it's kind of, if you want to suppress something like this strong edge here, you kind
[01:04:16.920 --> 01:04:21.800]   of create ghost edges kind of in parallel, like here also, because of this infinite extent of
[01:04:21.800 --> 01:04:29.480]   this filter. So although conceptually it might seem like the thing you want has a really nice
[01:04:29.480 --> 01:04:35.320]   property of exactly zeroing out those frequencies. The fact that the frequencies actually often,
[01:04:35.320 --> 01:04:42.200]   when you have a hard edge, it's a correlation of high and low frequencies. And then being too abrupt
[01:04:42.200 --> 01:04:48.440]   in killing frequencies off actually creates also some, you know, undesired effects or so. The
[01:04:48.440 --> 01:04:55.560]   fact that it's highly non-local. So that's where also the Gaussian typically comes out better.
[01:04:55.560 --> 01:05:00.520]   Here's a little video. Let me show that.
[01:05:00.520 --> 01:05:09.880]   Okay. So what you see here is essentially the kind of perfect filter
[01:05:11.960 --> 01:05:17.400]   applied. And so not only a perfect low-pass filter, but also band-pass filter. Okay.
[01:05:17.400 --> 01:05:22.920]   Literally, it was just keeping a particular, you know, frequency exactly. Let me replay it.
[01:05:22.920 --> 01:05:25.480]   Actually, I'm going to do like this.
[01:05:25.480 --> 01:05:35.560]   So you see this kind of initially just blurred image, but then you start seeing these artifacts
[01:05:35.560 --> 01:05:43.880]   that move around. Right? This is now band-pass. Very narrow band-pass. So you see that each of
[01:05:43.880 --> 01:05:49.320]   those is exactly one kind of frequency of patterns in all orientations mixed together. That shows up.
[01:05:50.520 --> 01:06:07.880]   Okay. Then, so one way to model or, you know, like we discussed earlier,
[01:06:07.880 --> 01:06:15.240]   essentially one way to, if you have a sharp image to model kind of blur,
[01:06:16.600 --> 01:06:24.520]   can be done with filters. What it kind of physically corresponds to is something else
[01:06:24.520 --> 01:06:32.520]   drawn here. So say that you have a point here in space. As we discussed, to get enough light
[01:06:32.520 --> 01:06:39.320]   to the sensor. So the sensor is here. This is the lens. If you just do a pinhole camera with
[01:06:39.320 --> 01:06:45.720]   a very small hole here, you get one light ray and then the image would be sharp from any distance,
[01:06:45.720 --> 01:06:52.440]   essentially, but you'd get a very dark image. So if you want to aggregate not light in a single
[01:06:52.440 --> 01:06:58.280]   ray, single direction, but you actually want to take a bigger cone of light. I mean, it's a very
[01:06:58.280 --> 01:07:02.600]   small cone of light, but a cone of light from the point where you are to the size of the lens,
[01:07:02.600 --> 01:07:10.360]   that kind of cone. And then, you know, and take that as kind of the light coming from this point
[01:07:10.360 --> 01:07:17.400]   here in the scene, then you need to make sure that you're, you know, the distance between the lens
[01:07:17.400 --> 01:07:22.840]   and the sensor is such that ideally you would actually, for this point, you would actually
[01:07:22.840 --> 01:07:26.920]   move your sensor a little bit closer so that it's here and you get a perfectly sharp image.
[01:07:26.920 --> 01:07:33.080]   Like in this case, if it's a little bit off, then you essentially get a little bit of blurring.
[01:07:33.080 --> 01:07:41.240]   You get a light to be spread out over a region. And so that's this blurring, but so in a sense for
[01:07:41.240 --> 01:07:47.560]   blurring that would correspond to this effect, you can obtain that by doing in the image a
[01:07:47.560 --> 01:07:57.880]   filtering operation, a convolution of this blurring kernel with the image, and then you go from that
[01:07:57.880 --> 01:08:06.440]   image to that image. This would be kind of if you had it for a pixel that's at the right distance
[01:08:06.440 --> 01:08:14.840]   for this focal length, you would have a sharp image, for example. And that's actually, it's
[01:08:14.840 --> 01:08:21.560]   actually symmetric the other way around, it would also be spread out, right? So that was the focus
[01:08:21.560 --> 01:08:27.640]   blur, then you can also have motion blur as we already briefly discussed. So here we'll assume
[01:08:27.640 --> 01:08:35.080]   we have a very simple model. So again, how do we mathematically represent this? And then potentially
[01:08:35.080 --> 01:08:41.080]   how can we undo the effect? So here we look at how we can restore that image. So that was like,
[01:08:41.080 --> 01:08:45.560]   let's say the original, or that would be the image we would like to have. This would be,
[01:08:45.560 --> 01:08:52.040]   we'd assume that somewhere underlying this pattern, but the image we get is this. And then what we'd
[01:08:52.040 --> 01:08:56.840]   like is from this image to go back to this image here, to extract this image from that image,
[01:08:56.840 --> 01:09:03.320]   or as close as possible. So to do that, what we'll do is we'll first model the effect that models
[01:09:03.320 --> 01:09:08.600]   from the image we wanted, how we ended up with an image like this here. We tried to physically
[01:09:08.600 --> 01:09:14.760]   model that. We model that with, we use these symbols, we assume that it's just in one dimension
[01:09:14.760 --> 01:09:24.600]   that it's blurred out in the horizontal dimension. And we'll use this step function here in this
[01:09:24.600 --> 01:09:31.480]   way to model it's zero. It goes to one for a while, and then it goes back to zero because we subtract
[01:09:31.480 --> 01:09:39.960]   minus one the step function after a while. So this way you see here, you get plus L here,
[01:09:39.960 --> 01:09:44.760]   and then minus, and then the function with minus L here. And so the combination is that
[01:09:44.760 --> 01:09:52.680]   from minus L to plus L, you have one, and outside of that you have zero. So you have a finite
[01:09:53.240 --> 01:09:58.600]   region here that's over which you integrate. In the other dimension, in the x2 dimension,
[01:09:58.600 --> 01:10:04.760]   the vertical direction, so this is blurring this way, modeling blurring this way. In the vertical
[01:10:04.760 --> 01:10:12.440]   direction, you essentially have still a Dirac impulse, so there's just a single, essentially
[01:10:12.440 --> 01:10:21.080]   a single pixel after sampling. You'll have a single pixel here. Okay, so that's our model for what's
[01:10:21.080 --> 01:10:29.720]   happening. And so we assume that there is such a function here, the one we would like to find back,
[01:10:29.720 --> 01:10:35.160]   but there was this filter applied to it that generated this image. This is the one we observed,
[01:10:35.160 --> 01:10:43.240]   the blurred image. And now what we would like is to get, apply another filter that actually somehow
[01:10:43.240 --> 01:10:51.720]   inverts the effect of the first filter. Okay, so what we're interested in is to compensate the
[01:10:51.720 --> 01:10:57.240]   effect of the image degradation. And so essentially we want that one filter convolved through the other
[01:10:57.240 --> 01:11:03.240]   filter should actually just give us perfectly preserved the function, so essentially just be
[01:11:03.240 --> 01:11:11.320]   the original sampling function. So you could kind of try to think of, okay, I have this
[01:11:12.360 --> 01:11:20.360]   convolution with this block, so how do I find the function that will, another function with
[01:11:20.360 --> 01:11:26.120]   another shape that if I apply one after the other, I convolve one with the other, I now get back the
[01:11:26.120 --> 01:11:32.760]   original function back, so that I get the Dirac impulse. Okay, so in the spatial domain,
[01:11:32.760 --> 01:11:36.520]   it's, you know, like there would be, I wouldn't know how to start it or so.
[01:11:36.520 --> 01:11:41.240]   But in the frequency domain, it's actually pretty straightforward, because in the frequency domain,
[01:11:41.240 --> 01:11:48.680]   it's just an individual frequency per frequency product. Okay, so if we don't look at h and h
[01:11:48.680 --> 01:11:54.360]   tilde, but we look in the frequency domain, we just have the constraint, right, instead of this
[01:11:54.360 --> 01:11:59.400]   constraint, which I really don't know how to solve, we now have this constraint, which is
[01:11:59.400 --> 01:12:07.720]   the Fourier transform of our filter times the Fourier transform, so the filter, the
[01:12:07.720 --> 01:12:11.640]   restoration filter run to apply, times the Fourier transform of the degradation filter,
[01:12:11.640 --> 01:12:18.920]   the blurring filter, the product of those two should be one. Okay, so that essentially, if we
[01:12:18.920 --> 01:12:24.600]   know this filter and we know its frequency response, we just have to do one over that number for each
[01:12:24.600 --> 01:12:28.680]   of the separate frequencies. This is why it's important, every frequency is treated fully
[01:12:28.680 --> 01:12:34.120]   separately, right? So it's very easy, you know, okay, for this frequency, the original filter
[01:12:34.120 --> 01:12:39.400]   divided this frequency by two, well, I just multiply it by two and done, right? And so you
[01:12:39.400 --> 01:12:44.920]   can immediately construct this function, I simply run over that function, and you would be done,
[01:12:44.920 --> 01:12:55.960]   essentially. Okay, yeah, so these could be different functions depending on for also,
[01:12:55.960 --> 01:13:01.400]   also these other effects before, we'll do it here for that, but you could also apply it for this one,
[01:13:01.400 --> 01:13:06.440]   for example. If you know this filter, you know, you're looking at Fourier domain, you do one over
[01:13:06.440 --> 01:13:16.040]   the filter, etc. Okay, but let's now look concretely at this one, okay? If we take the Fourier,
[01:13:16.040 --> 01:13:22.440]   we compute the Fourier transform and so on, we get, actually no surprise, we already looked at it
[01:13:22.440 --> 01:13:29.960]   many times, a box, this was just a box, right, in this one dimension. The Fourier transform of the
[01:13:29.960 --> 01:13:39.000]   box is this function here, this thing function, so the, you know, the sine divided by, so sine
[01:13:39.000 --> 01:13:44.840]   divided, you know, of sine of x divided by x, essentially, right? So it's this function that
[01:13:44.840 --> 01:13:51.400]   goes like this and slowly extinguishes out, and now we just do one over this function, easy, done.
[01:13:51.400 --> 01:13:59.000]   Okay, so that was the original function, now we do one over it, okay, so this is actually,
[01:13:59.000 --> 01:14:05.240]   we have a problem, because obviously there's a lot of zeros in this function, and well, one over
[01:14:05.240 --> 01:14:13.640]   zero is not a great idea, so essentially, we, like, we have a problem there, there are some values
[01:14:13.640 --> 01:14:18.440]   that actually, some frequencies we actually completely lost, some frequencies are just gone,
[01:14:18.440 --> 01:14:24.200]   they've been numerically eliminated, and so those we can just not recuperate, and trying to recuperate
[01:14:24.200 --> 01:14:29.960]   this is, them is a pretty bad idea, because value is pretty close to this here, to this, this value
[01:14:29.960 --> 01:14:35.400]   that's zero, but it's pretty close to that, it will also be, you know, they've been almost suppressed,
[01:14:35.400 --> 01:14:40.440]   so there's the value that's suppressed, that's one thing, but then there's the value that's not
[01:14:40.440 --> 01:14:46.040]   fully disappeared, but it's divided by a thousand, so now you take the number and you multiply by a
[01:14:46.040 --> 01:14:50.280]   thousand, then you get something very unstable, right, if there was any noise, boom, you know,
[01:14:50.280 --> 01:14:57.560]   it explodes, you multiply your noise by a thousand, so that's a bad idea, okay, so how do we address
[01:14:57.560 --> 01:15:03.000]   this in practice, you can do something like this here, okay, so to kind of regularize a bit, instead
[01:15:03.000 --> 01:15:13.560]   of doing one over F as the filter, the reconstruction filter, you do F divided by F squared plus a small
[01:15:13.560 --> 01:15:20.600]   number, okay, for example, you know, something that essentially is one twentieth or so, okay,
[01:15:20.600 --> 01:15:25.960]   for example, I think it's something like this that was used here, so like five percent or so,
[01:15:25.960 --> 01:15:30.920]   zero point zero five or so, and then it means that when this number gets very close to zero,
[01:15:30.920 --> 01:15:34.760]   this one starts dominating, and so you saturate at the ratio of those two numbers,
[01:15:36.360 --> 01:15:44.200]   and, or so, sorry, when this one gets very small, you know, this one disappears to zero,
[01:15:44.200 --> 01:15:47.320]   and then you get a small number divided by epsilon, okay,
[01:15:47.320 --> 01:15:53.080]   and so essentially that function then looks like something like this here,
[01:15:53.080 --> 01:16:00.840]   okay, so you see it saturates at the particular value, and so it will kind of avoid these,
[01:16:01.480 --> 01:16:05.480]   the kind of the, to blow up some values to something too large,
[01:16:05.480 --> 01:16:16.840]   and so essentially for the, yeah, so that's essentially what you get here,
[01:16:16.840 --> 01:16:24.360]   okay, so that, actually sorry, so does that make sense to everyone?
[01:16:28.120 --> 01:16:31.800]   So this essentially in the frequency domain, we can very easily do the inverse,
[01:16:31.800 --> 01:16:37.080]   the only problem is that there's actually, if the frequency disappears, it's gone,
[01:16:37.080 --> 01:16:41.880]   and so you have to drop it, okay, this is kind of what you are seeing here actually, right,
[01:16:41.880 --> 01:16:46.440]   these lost frequencies here, because of the finite extent of the shutter,
[01:16:46.440 --> 01:16:51.800]   this would essentially really have some frequencies completely disappear,
[01:16:51.800 --> 01:16:55.880]   and so there's no way to recuperate that pattern, that frequency,
[01:16:55.880 --> 01:17:01.960]   that's kind of the artifacts you saw here, here by actually having a mix of many different boxes,
[01:17:01.960 --> 01:17:11.960]   what you get is that, sorry, this function here, you know, you get like the zeros,
[01:17:11.960 --> 01:17:16.040]   like this has zeros in some places, but because you do many of different sizes,
[01:17:16.040 --> 01:17:18.840]   it means different widths, and you sum them all up and so on,
[01:17:18.840 --> 01:17:23.160]   and so you end up not having zeros, so the way that they did it here,
[01:17:23.160 --> 01:17:29.000]   it somehow avoids having zeros, okay, so let me now talk a little bit about
[01:17:29.000 --> 01:17:32.200]   space-time super resolution as an example,
[01:17:32.200 --> 01:17:43.000]   so you know, this shows a little bit the issues that we also saw with the wheel, right,
[01:17:43.000 --> 01:17:47.800]   so things look like they start turning in the other direction and so on, so you get everything,
[01:17:52.040 --> 01:17:57.960]   the here, this was an example where they would record with normal videos,
[01:17:57.960 --> 01:18:05.160]   normal video camera from many different, almost, you know, like cameras put next to each other,
[01:18:05.160 --> 01:18:12.520]   so they have many copies, and then they try to essentially reconstruct, you know, the signal,
[01:18:12.520 --> 01:18:19.560]   right, so I don't know if there's, yeah, okay, so if you look at these here, it's really completely
[01:18:19.560 --> 01:18:24.920]   blurred, I mean, it's, one is quite blurred, but it's also very sparse, it's here and then here and so on,
[01:18:24.920 --> 01:18:32.840]   but they managed to essentially align this, maybe actually was doing it, no, okay, anyway, so
[01:18:32.840 --> 01:18:42.760]   anyway, so here they managed to reconstruct the continuous nice full temporal resolution signal,
[01:18:45.720 --> 01:18:51.720]   this is a little bit, you know, what's going on here, so the input is blurry frame,
[01:18:51.720 --> 01:19:01.320]   but many of those, what you see here is kind of the input images, this is kind of the aperture
[01:19:01.320 --> 01:19:11.160]   of a single image, so it's kind of blurred out over, so the red here is, so the red here is the
[01:19:13.240 --> 01:19:19.480]   exposure you want to generate in the end, okay, so you want a sharp video at high frame rate in the
[01:19:19.480 --> 01:19:27.480]   end, and what they get is frames of these low frame rate and also in particular limited exposure
[01:19:27.480 --> 01:19:35.000]   time here, and so essentially they want to reconstruct at this frame rate here, okay,
[01:19:37.160 --> 01:19:44.360]   the, I think here they required 15 cameras to be able to do this reconstruction, it gets easier if
[01:19:44.360 --> 01:19:51.320]   the difference between the input exposure and the output is not too big, but essentially they were
[01:19:51.320 --> 01:19:57.080]   able to do a really good job here, and then if you remember we saw briefly an example and I show
[01:19:57.080 --> 01:20:03.960]   an example afterwards, if you do super resolution in the spatial domain, it turns out to be a lot
[01:20:03.960 --> 01:20:10.440]   harder, okay, so here in a temporal domain they managed to actually get really high quality
[01:20:10.440 --> 01:20:15.400]   reconstruction, so they get this as input and they can generate this as output, you see actually
[01:20:15.400 --> 01:20:21.720]   it's a factor of five, they only need 15 images, 15 cameras, and they managed to up sample by a factor
[01:20:21.720 --> 01:20:29.480]   of five the actual temporal resolution, okay, I kind of did it when we saw it in the first
[01:20:29.480 --> 01:20:38.840]   or second lecture that when you try to do super resolution spatially it's very hard to get beyond
[01:20:38.840 --> 01:20:45.480]   the factor of one or two or two or three at most or so, here with 15 images they get a factor of
[01:20:45.480 --> 01:20:56.120]   five in this example here, now why is that? Well it's because the, if you look at the temporal blur
[01:20:57.960 --> 01:21:05.000]   it's actually has very hard edges because it's actually something that you, you know, you switch
[01:21:05.000 --> 01:21:09.000]   the camera on and off or you have a shutter or you have something, but it's not that you kind of
[01:21:09.000 --> 01:21:14.920]   have opened the pixel, like smoothly open the pixel and then smoothly close it, it's actually on/off,
[01:21:14.920 --> 01:21:22.600]   so in other words, although this is blurred out here, it's actually a very sharp edge here and a
[01:21:22.600 --> 01:21:27.960]   very sharp edge here, you can kind of see how if you subtract this from another one that shifted
[01:21:27.960 --> 01:21:32.440]   a little bit, you can kind of easily reconstruct this or so, like as a difference between the two
[01:21:32.440 --> 01:21:40.440]   in some sense, so that's essentially what's happening here because it's a very sharp peak here
[01:21:40.440 --> 01:21:46.280]   they actually have, you know, in the frequency domain something with these additional lobes here
[01:21:46.280 --> 01:21:51.880]   and so these frequencies are not suppressed, they're still kind of there, okay, in the signal,
[01:21:51.880 --> 01:21:58.440]   so you do somehow measure things that higher frequencies are preserved essentially here, right,
[01:21:58.440 --> 01:22:03.880]   so you, the temporal blur does this, it means that it doesn't really suppress some of those higher
[01:22:03.880 --> 01:22:08.600]   frequencies, so you lose, you lose some of them as we saw, but essentially you, you do preserve
[01:22:08.600 --> 01:22:21.240]   things also in the higher frequencies, in the spatial case the, we actually have the, the combination
[01:22:21.240 --> 01:22:27.320]   of the lens and the pixels and all of this, actually even on purpose, we make sure that this is
[01:22:27.320 --> 01:22:35.560]   essentially blurring a little bit and so that we have our sampling rate kind of essentially
[01:22:35.560 --> 01:22:45.240]   correspond to, so we essentially have a smooth, a smooth line here and typically we'll have some,
[01:22:46.040 --> 01:22:52.040]   if you look at the optical lens on, we'll have a kind of essentially something that looks like a
[01:22:52.040 --> 01:22:58.280]   Gaussian in terms of suppressing high frequency, so in the sampling of the pixels we don't have like
[01:22:58.280 --> 01:23:03.320]   very sharp boundaries there, we actually have something that's,
[01:23:03.320 --> 01:23:11.800]   we have something that has a very smooth extinction here and quite fast and so the Fourier transform
[01:23:12.840 --> 01:23:17.160]   ends up being something that is actually quite sharp and
[01:23:17.160 --> 01:23:25.000]   so this, of the spatial blur and so it doesn't have these secondary lobes and so on
[01:23:25.000 --> 01:23:32.760]   and now if you want to do super resolution we'll try to take essentially this frequency here
[01:23:32.760 --> 01:23:39.720]   and boost it back, you know, to the original one which, okay if I go a little bit here I can
[01:23:39.720 --> 01:23:45.000]   still do it but you can see that if I try from here and I try to take whatever value I have here
[01:23:45.000 --> 01:23:54.520]   and boost it back to here it's just going to be impossible, okay, so here's kind of essentially
[01:23:54.520 --> 01:24:03.800]   a slide on spatial super resolution, so we have essentially a combination, so our filter looks
[01:24:03.800 --> 01:24:09.960]   like a combination of the point spread function, the focus of the lens not being perfect, so the
[01:24:09.960 --> 01:24:16.440]   light that comes in from a certain point will kind of spread itself a little bit out on the sensor
[01:24:16.440 --> 01:24:22.280]   and we actually also have the pixel itself, the sensor is kind of a, you know, a typically
[01:24:22.280 --> 01:24:27.400]   rectangular, small rectangular array, the combination of those two, the convolution of those two
[01:24:27.400 --> 01:24:32.120]   will essentially give us, you know, something that also looks like a Gaussian, something that looks
[01:24:32.120 --> 01:24:39.480]   like this, okay, so this is kind of our spatial filter sampling or, you know, before the sampling,
[01:24:39.480 --> 01:24:46.040]   so before we sample we'll have the original signal kind of somehow convolved with this here,
[01:24:46.040 --> 01:24:51.640]   that's our model essentially, a slight blur of the lens plus the fact that we actually aggregate
[01:24:51.640 --> 01:24:58.120]   over a pixel, that combination gives us a filter that looks like this roughly, so the original
[01:24:58.120 --> 01:25:03.000]   signal gets perturbed by this, if we want to do super resolution we want to invert that H filter
[01:25:03.000 --> 01:25:15.800]   essentially, okay, so the, and so if we do low resolution you can see this, the low resolution
[01:25:15.800 --> 01:25:27.000]   image can be modeled as a decimation filter times this filter here, times then, and then there's,
[01:25:27.000 --> 01:25:32.600]   okay, so there's the original high resolution image, a geometric warp that would, depending on
[01:25:32.600 --> 01:25:38.360]   the random image you take would have been slightly shifted, so it's exactly where you sample for a
[01:25:38.360 --> 01:25:44.680]   particular image, so you have the high res image, you shift it so that it's in front of the pixels
[01:25:44.680 --> 01:25:51.400]   of the lowest image, that's the gate here, and then the H is this blurring filter, and then the D
[01:25:52.360 --> 01:25:56.920]   is the decimation, it's only taking one out of two pixels or so, so going from the high resolution
[01:25:56.920 --> 01:26:02.840]   image to the low resolution image, okay, simplified, you could write it like this here,
[01:26:02.840 --> 01:26:09.720]   and you can actually permute those, these filters, it's, it's, they can be permuted,
[01:26:09.720 --> 01:26:19.400]   doesn't change anything in the operations, gay shift invariant, the, and commutes with H,
[01:26:20.840 --> 01:26:31.240]   so we can switch them, and so first we, so we have, what we try to do is to compute
[01:26:31.240 --> 01:26:41.480]   the high resolution image convolved with this, this pixel, you know, sensing essentially,
[01:26:41.480 --> 01:26:49.960]   so we'll try to reconstruct that first, and then after that we'll try to do the inversion of the H,
[01:26:50.600 --> 01:27:01.480]   the H blurring kernel, okay, so, so to compute this here, what we'll do is we have all these
[01:27:01.480 --> 01:27:05.160]   slightly shifted images, so first thing we need to do is actually compute that relative shift
[01:27:05.160 --> 01:27:10.440]   between all those images, so to do super resolution, there was a, I showed you a video in one of the
[01:27:10.440 --> 01:27:15.800]   first slides, essentially it's kind of, they took it, for example, you have, with a camera you move
[01:27:15.800 --> 01:27:20.120]   a little bit, so you, it shifts a little bit, it means that the exact samples are moving a little
[01:27:20.120 --> 01:27:26.920]   bit around, what you try to do is to reconstruct this combined image here, as precisely as possible,
[01:27:26.920 --> 01:27:33.320]   right, so you first need to make sure you somehow can figure out how to align those images, now,
[01:27:33.320 --> 01:27:37.000]   if it's really the same image with just a slight shift of the sensor of the camera,
