
[00:00:00.000 --> 00:00:02.000]   Okay, good morning.
[00:49:06.000 --> 00:49:11.000]   So most of the energy would be contained in the first few singular values, hopefully.
[00:49:11.000 --> 00:49:16.000]   So if this is satisfied, so if you throw all kinds of different images in,
[00:49:16.000 --> 00:49:21.000]   this will not be satisfied because one pixel will not tell you much about what happens somewhere else in the image.
[00:49:21.000 --> 00:49:25.000]   But if it's all faces, for example, then, you know, this pixel and this pixel,
[00:49:25.000 --> 00:49:28.000]   they will be very correlated for everyone.
[00:49:28.000 --> 00:49:29.000]   Okay.
[00:49:29.000 --> 00:49:36.000]   And, you know, same for this pixel and this pixel and this pixel and this pixel and so on and this pixel and this pixel also, etc.
[00:49:36.000 --> 00:49:37.000]   Okay.
[00:49:37.000 --> 00:49:40.000]   So in that case, we probably can compact quite well.
[00:49:40.000 --> 00:49:46.000]   And in that case, we can assume that our original metric that we use here,
[00:49:46.000 --> 00:49:50.000]   the difference between the images in pixels, in pixel values,
[00:49:50.000 --> 00:50:00.000]   would be, well, would be, would be also well approximated by this here.
[00:50:00.000 --> 00:50:06.000]   Remember, if you do SVD or if you do something, you actually want to work,
[00:50:06.000 --> 00:50:10.000]   also if we looked, let me go back here.
[00:50:10.000 --> 00:50:11.000]   Okay.
[00:50:11.000 --> 00:50:16.000]   We kind of assumed here that this was centered around zero, right?
[00:50:16.000 --> 00:50:23.000]   I didn't make it explicit here, but we, for all of this, we assumed that we have a centered distribution around zero.
[00:50:23.000 --> 00:50:25.000]   So how do you guarantee that?
[00:50:25.000 --> 00:50:27.000]   Well, you know, it's very simple.
[00:50:27.000 --> 00:50:29.000]   You subtract the average, right?
[00:50:29.000 --> 00:50:34.000]   So you first, with all of these things, it's really important, you shouldn't forget that.
[00:50:34.000 --> 00:50:37.000]   You first have to subtract the average.
[00:50:37.000 --> 00:50:42.000]   There's something I still remember that I forgot long ago when I was doing exercise of this type,
[00:50:42.000 --> 00:50:46.000]   so that's like 30 years ago or so.
[00:50:46.000 --> 00:50:52.000]   I remember that I was getting trouble getting things to work out because I forgot to subtract the average vector.
[00:50:52.000 --> 00:50:54.000]   And therefore, nothing worked.
[00:50:54.000 --> 00:50:55.000]   Okay.
[00:50:55.000 --> 00:51:02.000]   So you have to subtract the average vector because the assumption is otherwise you find the biggest correlation to be in the direction of the average vector, right?
[00:51:02.000 --> 00:51:07.000]   If your whole distribution is not centered around, let's say zero is here, it's not centered around zero,
[00:51:07.000 --> 00:51:13.000]   but it's somewhere over there, then your biggest thing on the vector is just going to be pointing to the average vector.
[00:51:13.000 --> 00:51:14.000]   Okay.
[00:51:14.000 --> 00:51:15.000]   So you don't want that.
[00:51:15.000 --> 00:51:16.000]   You subtract it out first.
[00:51:16.000 --> 00:51:18.000]   So this is simply the average.
[00:51:18.000 --> 00:51:21.000]   And so you take, for every image you first subtract the average,
[00:51:21.000 --> 00:51:27.000]   which means that you take your whole distribution that's out there, you shift it to be centered around zero.
[00:51:27.000 --> 00:51:29.000]   So that's what we do first.
[00:51:29.000 --> 00:51:35.000]   And then we do the best approximation of that distribution around zero doing this way.
[00:51:35.000 --> 00:51:42.000]   So this thing here is done on the shifted distribution, the one that's centered around zero.
[00:51:42.000 --> 00:51:49.000]   But of course, in terms of difference, the difference between vectors is not at all affected by shifting the vectors around.
[00:51:49.000 --> 00:51:51.000]   So this actually doesn't change anything.
[00:51:51.000 --> 00:51:54.000]   So this is actually equality here.
[00:51:54.000 --> 00:52:00.000]   The distance between the vectors before centering them around zero or after sending them around zero, that's identical.
[00:52:00.000 --> 00:52:02.000]   There's no error introduced here.
[00:52:02.000 --> 00:52:12.000]   Then we want actually to use our closest rank K approximation of the SVD or what we just showed with Lagrangian,
[00:52:12.000 --> 00:52:20.000]   that taking the first K coefficient is the best we can do for taking the eigenvalues of the autocorrelation matrix.
[00:52:20.000 --> 00:52:23.000]   So essentially we apply that.
[00:52:23.000 --> 00:52:28.000]   And so the advantage is that if we do that, this was the full space.
[00:52:28.000 --> 00:52:30.000]   This is now only a K dimensional space.
[00:52:30.000 --> 00:52:37.000]   So it's potentially a much smaller space if we have a highly correlated set of images.
[00:52:37.000 --> 00:52:45.000]   So in other words, we end up with if this is true, then this vector should be well approximated by this vector.
[00:52:45.000 --> 00:52:49.000]   And so in other words, we can approximate this, which was initially what we're going to do.
[00:52:49.000 --> 00:52:51.000]   Just compare all the images pixel by pixel.
[00:52:51.000 --> 00:52:55.000]   We actually can get a good approximation of that.
[00:52:55.000 --> 00:53:02.000]   Hopefully we actually get the same coefficient here because this distance is pretty close to this distance.
[00:53:02.000 --> 00:53:07.000]   And therefore the minimum of this is likely to actually, we're likely to preserve the right minimum here.
[00:53:07.000 --> 00:53:14.000]   And this would be a lot cheaper to compute because this distance is now say this was, let's say this was 30 by 30 pixels.
[00:53:14.000 --> 00:53:20.000]   This was 900, 900 dimensional vectors that you have to subtract from each other.
[00:53:20.000 --> 00:53:23.000]   Here you might be say 10 dimensional or so.
[00:53:23.000 --> 00:53:28.000]   And so it's only 10 vectors that you have to vector dimension 10.
[00:53:28.000 --> 00:53:31.000]   He's actually some nice illustration of this concept.
[00:53:31.000 --> 00:53:34.000]   So this is a nice kind of cut out.
[00:53:34.000 --> 00:53:43.000]   So this would work by on an image first doing a phase detection, a filter that would look for face patterns across the image.
[00:53:43.000 --> 00:53:47.000]   And then find a few places where there is a good something that looks like a face.
[00:53:47.000 --> 00:53:53.000]   You then around that detection cut out a nice little box that kind of, you know, squares in the face,
[00:53:53.000 --> 00:53:57.000]   samples it at a reasonable resolution, right?
[00:53:57.000 --> 00:54:03.000]   We don't need to have, you know, 1000 pixels on the, we don't need to have 1000 by 1000 pixels on the face.
[00:54:03.000 --> 00:54:06.000]   Maybe 30 by 30 is just fine.
[00:54:06.000 --> 00:54:13.000]   So that's still about 900 or so pixels, for example, here.
[00:54:13.000 --> 00:54:17.000]   And you arrange it in a vector.
[00:54:17.000 --> 00:54:19.000]   That's your observation vector.
[00:54:19.000 --> 00:54:22.000]   You know, first pixel there is the first coefficient.
[00:54:22.000 --> 00:54:25.000]   Second pixel is the second coefficient, et cetera.
[00:54:25.000 --> 00:54:29.000]   But of course you can see that there's huge correlation between all these pixels here.
[00:54:29.000 --> 00:54:32.000]   Also between pixels on this side and picks on that side.
[00:54:32.000 --> 00:54:34.000]   So everything here is more or less mirror image.
[00:54:34.000 --> 00:54:41.000]   So strong correlation there, et cetera, and large areas are also highly correlated, et cetera, et cetera.
[00:54:41.000 --> 00:54:48.000]   Clearly we're probably, you know, we can do better than represented in all these pixels as supposedly independent variables.
[00:54:48.000 --> 00:54:54.000]   So essentially what we have is we have the observed dimensions.
[00:54:54.000 --> 00:55:01.000]   This is really the pixel dimensions, which in this, you know, eventually very high dimensional space,
[00:55:01.000 --> 00:55:03.000]   and we have distance between pixels there.
[00:55:03.000 --> 00:55:07.000]   From that we would like to go to a feature dimension.
[00:55:07.000 --> 00:55:14.000]   This is then, you know, so this is a kind of a general thing.
[00:55:14.000 --> 00:55:18.000]   So we would go from this with a deterministic transformation to a different space,
[00:55:18.000 --> 00:55:24.000]   but we could potentially have a much lower dimensional space here.
[00:55:24.000 --> 00:55:26.000]   We won't cover all of those in detail.
[00:55:26.000 --> 00:55:29.000]   The one we're now talking about is egg and faces.
[00:55:29.000 --> 00:55:33.000]   We'll briefly talk also about feature faces.
[00:55:33.000 --> 00:55:45.000]   But there are also other choices there, but we want more advanced concepts there, which we will not discuss.
[00:55:45.000 --> 00:55:51.000]   But the logic is essentially to do the projection from a high dimensional observation space,
[00:55:51.000 --> 00:55:53.000]   so direct measurements, right?
[00:55:53.000 --> 00:55:57.000]   Your pixels are directly measured in the image as incoming light or so.
[00:55:57.000 --> 00:56:02.000]   Direct measurements projected into a more suitable space to actually measure things.
[00:56:02.000 --> 00:56:04.000]   Typically more compact space also.
[00:56:04.000 --> 00:56:08.000]   Also actually with the added advantage to reduce the noise.
[00:56:08.000 --> 00:56:13.000]   Actually if you think of it, the original image might have been a thousand by a thousand pixels,
[00:56:13.000 --> 00:56:20.000]   and actually going to measure each of those thousand by a thousand pixels and compare them one to one with the ones of a detected face,
[00:56:20.000 --> 00:56:26.000]   you will already have a lot of noise because, you know, any small shift here,
[00:56:26.000 --> 00:56:30.000]   you know, a reasonable alignment will have the nose kind of aligned on the nose,
[00:56:30.000 --> 00:56:39.000]   but if you go to a thousand by a thousand pixels having, you know, the right pixel in your eye and your, you know, iris correlates with the iris of someone else and so on,
[00:56:39.000 --> 00:56:42.000]   this on the pixel by pixel base actually not never going to really align.
[00:56:42.000 --> 00:56:48.000]   Even you with yourself, the slightest misalignment will have all the high frequency kind of misalign.
[00:56:48.000 --> 00:56:56.000]   So if the alignment is only up to a certain resolution, you actually don't want to compare pixels at a resolution beyond the quality of your alignment
[00:56:56.000 --> 00:56:59.000]   because you will just have a degraded result.
[00:56:59.000 --> 00:57:04.000]   In general, it's actually a good idea to project things down,
[00:57:04.000 --> 00:57:07.000]   partially also because of the noise ratio and so on.
[00:57:07.000 --> 00:57:14.000]   One is because you go to a space where most of the energy is captured compactly, so an advantage in computations,
[00:57:14.000 --> 00:57:21.000]   but actually also because you eliminate a lot of small detailed noisy variations
[00:57:21.000 --> 00:57:25.000]   and you have actually a better measurement of what actually matters.
[00:57:25.000 --> 00:57:30.000]   So here's an example of Eigen faces.
[00:57:30.000 --> 00:57:35.000]   Again, really important, don't forget to subtract the average.
[00:57:35.000 --> 00:57:39.000]   In this case, we can call it the average face or the mean face.
[00:57:39.000 --> 00:57:48.000]   So if you take your collection of all these faces, you first compute the average, this one, and you subtract that.
[00:57:48.000 --> 00:58:00.000]   And so the actual identity of a person is now how much the picture of a particular person differs from the average face.
[00:58:00.000 --> 00:58:02.000]   That actually makes sense.
[00:58:02.000 --> 00:58:05.000]   The signal that's in the average face, that's not useful.
[00:58:05.000 --> 00:58:09.000]   What you care about is how different you are from the average in a sense.
[00:58:09.000 --> 00:58:11.000]   That's kind of your identity.
[00:58:11.000 --> 00:58:15.000]   That vector literally represents your identity in this space.
[00:58:15.000 --> 00:58:22.000]   That difference will not represent it as a difference per pixel from the average face,
[00:58:22.000 --> 00:58:25.000]   but as a difference in a different coordinate system.
[00:58:25.000 --> 00:58:32.000]   A coordinate system that's much better suited to actually observe the major differences between faces.
[00:58:32.000 --> 00:58:35.000]   So if we look at this here, what do we see?
[00:58:35.000 --> 00:58:41.000]   For example, any idea what this one kind of correlates to?
[00:58:41.000 --> 00:58:43.000]   Exactly.
[00:58:43.000 --> 00:58:51.000]   So this kind of seems to capture the correlation that in many pictures there seems to be a correlated change.
[00:58:51.000 --> 00:58:55.000]   If this pixel is darker, then this one also tends to be darker.
[00:58:55.000 --> 00:58:56.000]   Why is that?
[00:58:56.000 --> 00:59:00.000]   Well, it's because people tend to have glasses that have all more or less the same shape.
[00:59:00.000 --> 00:59:03.000]   And so whenever it's dark here, it's also dark there and there and there.
[00:59:03.000 --> 00:59:07.000]   And when it's a bright frame, then it's the other way around.
[00:59:07.000 --> 00:59:12.000]   Or in particular, compared to the average face, when it changes in both directions.
[00:59:12.000 --> 00:59:19.000]   This is, again, remember, this is actually linear, meaning that positive and negative correlation always have to go together.
[00:59:19.000 --> 00:59:27.000]   Even if all the glasses are dark, this essentially cannot differentiate between deviating to the dark side and to the brighter side.
[00:59:27.000 --> 00:59:35.000]   So bright glass or dark glasses, they have to be captured in the same linear deviation from the central point.
[00:59:35.000 --> 00:59:40.000]   So even if all the deviations are in one direction, here the vector actually captures both directions at once.
[00:59:40.000 --> 00:59:47.000]   That's again where nonlinear systems like neural networks that introduce nonlinearities can actually start separating those.
[00:59:47.000 --> 00:59:49.000]   But here they would all be captured together.
[00:59:49.000 --> 00:59:50.000]   Anyway, so that's like glasses.
[00:59:50.000 --> 00:59:51.000]   Okay, great.
[00:59:51.000 --> 00:59:58.000]   If you look more at this, like the ones at the top there, the biggest one, because actually they're ordered.
[00:59:58.000 --> 01:00:03.000]   I think they're ordered one, two, three, four, five, six, seven, eight or so, I think.
[01:00:03.000 --> 01:00:07.000]   I'm not actually exactly sure, but I think it's in that order.
[01:00:07.000 --> 01:00:12.000]   You know, the first one, the biggest variation, which is the one associated with the biggest variation.
[01:00:12.000 --> 01:00:14.000]   What, you know, what, what is that one?
[01:00:14.000 --> 01:00:15.000]   So it's not glasses.
[01:00:15.000 --> 01:00:17.000]   What, what is it?
[01:00:17.000 --> 01:00:21.000]   Anyone?
[01:00:21.000 --> 01:00:25.000]   What is captured in that image, in the first image there?
[01:00:25.000 --> 01:00:32.000]   No.
[01:00:32.000 --> 01:00:33.000]   I mean, what do you see?
[01:00:33.000 --> 01:00:38.000]   Maybe someone can describe what they see in that upper left image there.
[01:00:38.000 --> 01:00:48.000]   Yeah, but what's the difference between that image and this image?
[01:00:48.000 --> 01:00:55.000]   Exactly, right?
[01:00:55.000 --> 01:00:57.000]   What you capture there is really lighting.
[01:00:57.000 --> 01:00:59.000]   You have kind of bright lighting from the right side.
[01:00:59.000 --> 01:01:01.000]   That's what's captured there.
[01:01:01.000 --> 01:01:09.000]   You know, and then actually if you look at these also, right, it's not so much identity as really kind of lighting that's captured there.
[01:01:09.000 --> 01:01:13.000]   So that's, you know, something to remember actually we'll get back to that in a few slides.
[01:01:13.000 --> 01:01:14.000]   Okay.
[01:01:14.000 --> 01:01:25.000]   Okay, so this is actually from many years ago, a simple, a simple, a good image for a cognition kind of system.
[01:01:25.000 --> 01:01:39.000]   It was, so given a new image coming in here, it would normalize so a face, a detected face, you know, it would normalize it.
[01:01:39.000 --> 01:01:45.000]   Also, it would subtract the mean face here, the average face, right?
[01:01:45.000 --> 01:01:49.000]   And so the vector that goes through here, you would do a projection.
[01:01:49.000 --> 01:01:54.000]   Okay, so you project it on, on these egg and faces.
[01:01:54.000 --> 01:02:02.000]   So projecting means you take the full image, full resolution image, you subtract it, you subtract the average from it.
[01:02:02.000 --> 01:02:07.000]   Then you multiply coefficient by coefficient.
[01:02:07.000 --> 01:02:19.000]   So pixel per pixel, you multiply your incoming image after you subtracted out this, you multiply it with this image, this image with each of those templates, and you get a coefficient, right?
[01:02:19.000 --> 01:02:20.000]   For each of those.
[01:02:20.000 --> 01:02:21.000]   So that's what you get here.
[01:02:21.000 --> 01:02:28.000]   So you get essentially your image coming in here, you multiply it with this, you get a number of coefficients coming out, right?
[01:02:28.000 --> 01:02:33.000]   Which is simply the product of each of the image, the difference image with each of those, for example.
[01:02:33.000 --> 01:02:38.000]   So in this case, you would get eight numbers, for example, coming out based on the previous image.
[01:02:38.000 --> 01:02:49.000]   And those eight numbers, you will now compare to the pre-computed eight numbers for, for example, eight numbers for each of your database images.
[01:02:49.000 --> 01:02:50.000]   And you get a similarity.
[01:02:50.000 --> 01:02:56.000]   And then you get here a nonlinear simple rejection system, which says it's just a threshold actually.
[01:02:56.000 --> 01:03:15.000]   It says if the difference is smaller than this much, then I will declare, you know, for the best one, if the difference is smaller than a certain number, then I will essentially output the, the coefficient, the, sorry, the identity of the face that I recognize.
[01:03:15.000 --> 01:03:30.000]   So which, which of those, which the, the index of which of those faces it was that I am the closest to, even below a threshold, if not, if I'm not below that threshold, if the error is too big, then I would say, okay, forget it.
[01:03:30.000 --> 01:03:32.000]   This is not good enough.
[01:03:32.000 --> 01:03:34.000]   Okay.
[01:03:34.000 --> 01:03:37.000]   So that's essentially what you would do here.
[01:03:37.000 --> 01:03:38.000]   Okay.
[01:03:38.000 --> 01:03:45.000]   Then, then let me actually show here this video.
[01:03:45.000 --> 01:03:46.000]   Let me see.
[01:03:46.000 --> 01:03:49.000]   Actually, if I can show it, I might have forgotten to update the link.
[01:03:49.000 --> 01:04:11.000]   Okay.
[01:04:11.000 --> 01:04:12.000]   Okay.
[01:04:12.000 --> 01:04:13.000]   Works.
[01:04:13.000 --> 01:04:18.000]   Okay.
[01:04:18.000 --> 01:04:27.000]   Normally, there should be no more face model is derived from a data set of 200 colored 3D scans of faces.
[01:04:27.000 --> 01:04:32.000]   Individual faces are combined into a single morphable model by computing dent.
[01:04:32.000 --> 01:04:35.000]   Actually, let me first give you some, some context here.
[01:04:35.000 --> 01:04:43.000]   So essentially, this is the same idea as we just saw before for two dimensional faces.
[01:04:43.000 --> 01:04:44.000]   Two dimensional faces.
[01:04:44.000 --> 01:04:45.000]   What did we have?
[01:04:45.000 --> 01:04:49.000]   We had, you know, we essentially detected a face.
[01:04:49.000 --> 01:04:57.000]   So detecting the face means we actually found the detection and the localization of the face in the image and cropping, taking a crop.
[01:04:57.000 --> 01:05:06.000]   Then we actually really had determined for, you know, the upper, for you, the upper left pixel, you know, is here and, you know, then the next one.
[01:05:06.000 --> 01:05:15.000]   And so we really, in a sense, had arranged for an alignment pixel to pixel so that we can, could then meaningfully subtract the average.
[01:05:15.000 --> 01:05:18.000]   And then, you know, project on the different basis functions.
[01:05:18.000 --> 01:05:26.000]   And if we actually collected a lot of images this way, we could actually take that whole collection and compute this SVD from this matrix of faces and so on and so on.
[01:05:26.000 --> 01:05:27.000]   Right.
[01:05:27.000 --> 01:05:34.000]   Here, we essentially do the same, but with three these cans of faces.
[01:05:34.000 --> 01:05:35.000]   Okay.
[01:05:35.000 --> 01:05:42.000]   So the same concept of actually cropping out nicely and getting that alignment that the nose pixel corresponds to the nose pixel and you know, etc.
[01:05:42.000 --> 01:05:49.000]   The eyes correspond to the eyes by finding the face and aligning it properly and cutting it out consistently between all the images.
[01:05:49.000 --> 01:05:51.000]   That's how you get correlation.
[01:05:51.000 --> 01:06:06.000]   If you do a message job at aligning, notice this will, the correlation will be terrible because if the nose moves around in your detected image, it means that suddenly, you know, you cannot predict anymore so well what, you know, where the nose would be and therefore you have to start
[01:06:06.000 --> 01:06:13.000]   modeling, you know, nose in many different locations and you need a lot more basis images to actually represent faces if you don't have a good alignment.
[01:06:13.000 --> 01:06:14.000]   Okay.
[01:06:14.000 --> 01:06:16.000]   Here also in 3D, they'll do the same thing.
[01:06:16.000 --> 01:06:18.000]   They actually had scans of people faces.
[01:06:18.000 --> 01:06:22.000]   They all carefully aligned those ahead of time.
[01:06:22.000 --> 01:06:30.000]   And then you'll see they'll actually look at the face at the color of the face, but also the geometry of the face.
[01:06:30.000 --> 01:06:36.000]   But for that, they first had to create an alignment between all those 3D faces to each other.
[01:06:36.000 --> 01:06:37.000]   So that's what they do.
[01:06:37.000 --> 01:06:47.000]   And so in a sense, instead of having just a grayscale image as we had before, so a single value, what they do here is they actually at every location.
[01:06:47.000 --> 01:06:50.000]   They have six values.
[01:06:50.000 --> 01:06:52.000]   What are those six values?
[01:06:52.000 --> 01:06:59.000]   R, G, B, so color, X, Y and Z.
[01:06:59.000 --> 01:07:02.000]   The 3D coordinates of the point.
[01:07:02.000 --> 01:07:03.000]   But of course they need alignment.
[01:07:03.000 --> 01:07:06.000]   So they need the XYZ coordinate of the point on the nose.
[01:07:06.000 --> 01:07:09.000]   They need the XYZ coordinate of, you know, a particular point here.
[01:07:09.000 --> 01:07:12.000]   So they need like alignment of all the 3D faces to each other.
[01:07:12.000 --> 01:07:15.000]   But once they have that, they can actually compute things that way.
[01:07:15.000 --> 01:07:18.000]   So it's really exactly the same thing as before.
[01:07:18.000 --> 01:07:22.000]   Now you have XYZ, RGB coordinates.
[01:07:22.000 --> 01:07:25.000]   So you have like six values, but that's okay.
[01:07:25.000 --> 01:07:32.000]   If you linearize in a long vector, you know, instead of having every pixel just have one value, you can now have every pixel have six values.
[01:07:32.000 --> 01:07:33.000]   It doesn't actually matter.
[01:07:33.000 --> 01:07:35.000]   You just have a longer vector.
[01:07:35.000 --> 01:07:39.000]   It's still just a vector and you still can subtract the average.
[01:07:39.000 --> 01:07:42.000]   Once you align everything, you subtract the average, you do SVD, blah, blah, blah.
[01:07:42.000 --> 01:07:44.000]   It all still is exactly the same thing.
[01:07:44.000 --> 01:07:48.000]   Okay. So let me continue playing the video now.
[01:07:48.000 --> 01:07:50.000]   So it's actually very nice illustration.
[01:07:50.000 --> 01:07:57.000]   The key author here was Thomas Vetter, who's a professor at the University of Basel actually.
[01:07:57.000 --> 01:08:01.000]   But this was, you know, when he was still, this was still earlier before he was.
[01:08:01.000 --> 01:08:04.000]   Point correspondences to a reference face.
[01:08:04.000 --> 01:08:10.000]   A modified optic flow algorithm establishes 3D correspondence automatically.
[01:08:10.000 --> 01:08:13.000]   We'll actually talk about optical flow next week.
[01:08:13.000 --> 01:08:27.000]   Okay. So, but it's about finding correspondences between, you know, in this case, it's like different faces will do it in video between from one video frame to the next.
[01:08:27.000 --> 01:08:37.000]   The morphable model combines 3D shape and texture information of all example faces into one vector space of faces.
[01:08:37.000 --> 01:08:49.000]   We can form arbitrary linear combinations of the examples and generate continuous transitions.
[01:08:49.000 --> 01:09:04.000]   Starting from the average face, individual original faces are caricatured by increasing their distance from the average.
[01:09:04.000 --> 01:09:25.000]   Forming the average for male and female faces separately, the difference can be added to or subtracted from an individual face to change the perceived gender.
[01:09:25.000 --> 01:09:33.000]   Other facial attributes, such as the fullness of a face, can be manipulated in a similar way.
[01:09:33.000 --> 01:09:38.000]   From a labeled set of faces, the characteristic changes are extracted automatically.
[01:09:38.000 --> 01:09:42.000]   In our model, they're controlled by a single parameter.
[01:09:42.000 --> 01:09:58.000]   Differences in facial expressions captured from another face can be mapped to any individual.
[01:09:58.000 --> 01:10:07.000]   We now reconstruct 3D shape and texture in order to animate a face, given only a single photograph of a person.
[01:10:07.000 --> 01:10:20.000]   First, we manually align the average face to the target image, roughly estimating position, size, orientation, and illumination.
[01:10:20.000 --> 01:10:28.000]   Then, a fully automated algorithm finds the best reconstruction of the face within the morphable model.
[01:10:28.000 --> 01:10:40.000]   3D shape and texture are optimized along with parameters such as size, orientation, and color contrast.
[01:10:40.000 --> 01:10:48.000]   The output is a high resolution 3D mesh of the face.
[01:10:48.000 --> 01:11:05.000]   This is an estimate of 3D shape and surface colors based on a single image.
[01:11:05.000 --> 01:11:14.000]   Additional texture extraction improves details and texture.
[01:11:14.000 --> 01:11:20.000]   The construction can now be rendered into the image, and a whole range of facial variations can be applied.
[01:11:20.000 --> 01:11:32.000]   Here we simulate weight gain and weight loss.
[01:11:32.000 --> 01:11:45.000]   Facial expression can be post-processed in images, forcing a face to frown or to smile.
[01:11:45.000 --> 01:11:54.000]   From this image, we also estimated 3D shape and texture and combined the photograph with 3D computer graphics.
[01:11:54.000 --> 01:11:59.000]   Cast shadows of novel objects are rendered correctly into the scene.
[01:11:59.000 --> 01:12:27.000]   Illumination conditions can be changed and pose can be varied to some extent.
[01:12:27.000 --> 01:12:32.000]   From a single black and white image, we obtain a full estimate of 3D shape.
[01:12:32.000 --> 01:12:48.000]   The result of the matching procedure includes an estimate of surface color since the morphable model contains color information.
[01:12:48.000 --> 01:13:13.000]   Finally, we show the application of our model to a painting.
[01:13:13.000 --> 01:13:23.000]   This is all purely linear.
[01:13:23.000 --> 01:13:28.000]   The morphable face model is derived from a data system.
[01:13:28.000 --> 01:13:38.000]   Linear models can be powerful with the right amount of data and linear fits to the data.
[01:13:38.000 --> 01:13:48.000]   On top of that, people will bring in nonlinear methods, neural networks that will mostly start from there, but then add additional capabilities.
[01:13:48.000 --> 01:14:10.000]   This is quite impressive what you can get out of this.
[01:14:10.000 --> 01:14:18.000]   In many ways, you could actually see this as training.
[01:14:18.000 --> 01:14:25.000]   It is essentially just computing an SVD on a big matrix.
[01:14:25.000 --> 01:14:35.000]   This is where I want you to learn in this course.
[01:14:35.000 --> 01:14:46.000]   You have the understanding of what is happening here with the simple linear methods and what you can already capture.
[01:14:46.000 --> 01:15:05.000]   In the end, 90% of what is happening is probably this stuff with some additional capabilities captured by having nonlinear representations.
[01:15:05.000 --> 01:15:15.000]   In terms of how many you have to use, I think in this case they only used, I think, I am not exactly sure anymore, but I think it was maybe 256 scans only.
[01:15:15.000 --> 01:15:18.000]   It was actually quite a small number.
[01:15:18.000 --> 01:15:32.000]   The reason is, so essentially, the reason that they could use that small of a number is because they strongly normalize the problem.
[01:15:32.000 --> 01:15:35.000]   What do I mean by that?
[01:15:35.000 --> 01:15:42.000]   If you would try to train a neural network to do similar things, but you do not help it by aligning the pictures.
[01:15:42.000 --> 01:15:44.000]   Remember, here they had the alignment.
[01:15:44.000 --> 01:15:59.000]   If you do not help it to align the pictures in advance, you are essentially just providing it random images with random lighting, with random poses.
[01:15:59.000 --> 01:16:13.000]   Then you actually have to explicitly, in a sampling way, and actually also there, the sampling that we learned here is relevant also for that, the understanding of how that works.
[01:16:13.000 --> 01:16:23.000]   You essentially have to sample every possible pose, multiply it with every possible lighting, multiply it with every possible identity.
[01:16:23.000 --> 01:16:43.000]   If you need 100 samples, or let's say 50 samples for pose, and you need, let's say, 50 samples for illumination, and you need 250 for identity, then the number of data points you need is 50 times 50 times 250, or something like that.
[01:16:43.000 --> 01:16:45.000]   Then you need many, many images.
[01:16:45.000 --> 01:16:50.000]   If you actually take out some of those variations, you normalize for lighting.
[01:16:50.000 --> 01:16:52.000]   How did they normalize for lighting?
[01:16:52.000 --> 01:16:57.000]   They had all those 256 people, or whatever the number was, but I think it was really in that order.
[01:16:57.000 --> 01:16:59.000]   They all had them sit down on a chair.
[01:16:59.000 --> 01:17:04.000]   They had a special setup that would capture them with the same lighting, same everything, fully controlled.
[01:17:04.000 --> 01:17:06.000]   Therefore, there was no pose variation.
[01:17:06.000 --> 01:17:07.000]   There was no light variation.
[01:17:07.000 --> 01:17:15.000]   They actually made sure they, as they told you, they actually did a modified optical flow to get a one-to-one kind of correspondence between all the points on the face and so on.
[01:17:15.000 --> 01:17:25.000]   All that variability was gone, and then just the identity, you know, with a few hundred faces, they actually could capture, you know, enough variability.
[01:17:25.000 --> 01:17:30.000]   I mean, more faces would probably be better, but it was already enough to do quite impressive things.
[01:17:30.000 --> 01:17:34.000]   So that's the way, you know, that's how, that's what you have to remember.
[01:17:34.000 --> 01:17:38.000]   It depends on the size of the space you have to, in a sense, sample with your data.
[01:17:38.000 --> 01:17:50.000]   If you normalize your space, then if there's only one dimension or a few dimensions of variability, then a few points, you know, randomly distributed there will be good enough to capture that.
[01:17:50.000 --> 01:17:59.000]   If you live in a lot of kind of uncorrelated variations, then, you know, you might have to sample many, many times more,
[01:17:59.000 --> 01:18:05.000]   because the space that intrinsically you're trying to capture is a space with a lot more variability.
[01:18:05.000 --> 01:18:16.000]   You know, this is when cell driving car companies want to capture what happens in the street, you know, by driving around and just capture situations.
[01:18:16.000 --> 01:18:22.000]   Well, the problem is the relevant situations come with this really long tail.
[01:18:22.000 --> 01:18:31.000]   So, you know, just driving around like nothing happens, you drive straight, people around you drive normally, pedestrians do no crazy things, etc.
[01:18:31.000 --> 01:18:35.000]   That's pretty quick to capture enough to understand that.
[01:18:35.000 --> 01:18:41.000]   But if you actually need to also be able to react to surprises, you actually need to capture enough of those and so on.
[01:18:41.000 --> 01:18:46.000]   So that's where certainly the sampling becomes very difficult to actually get enough examples of everything,
[01:18:46.000 --> 01:18:50.000]   especially if you want to do end-to-end deep learning where you're not normalizing things.
[01:18:50.000 --> 01:19:00.000]   And so if you've seen it like, I mean, in the end, with the right algorithms, you know, somewhere there's the input space and the output space.
[01:19:00.000 --> 01:19:07.000]   But in between there might be a latent space that captures in a sense the intrinsic dimensionality of things.
[01:19:07.000 --> 01:19:11.000]   Okay, in this case, the latent space is very simple.
[01:19:11.000 --> 01:19:13.000]   It's like the dimensionality here that's relevant.
[01:19:13.000 --> 01:19:16.000]   Okay, how many singular values are different here?
[01:19:16.000 --> 01:19:17.000]   It's actually very simple.
[01:19:17.000 --> 01:19:20.000]   The dimensionality of the problem intrinsically.
[01:19:20.000 --> 01:19:23.000]   We're really capturing this by looking at the data.
