
[00:00:00.000 --> 00:00:02.080]   (audience murmuring)
[00:42:04.100 --> 00:42:09.100]   So, we are convoluting this, but over the horizontal.
[00:42:09.100 --> 00:42:10.100]   Okay.
[00:42:10.100 --> 00:42:14.100]   So, this is the mathematical equation.
[00:42:14.100 --> 00:42:16.100]   Why is it computational advantage?
[00:42:16.100 --> 00:42:18.100]   Of course, it's quicker, but why?
[00:42:18.100 --> 00:42:24.100]   And speaking in complexity, if we are doing all this in one step, we are having that complexity.
[00:42:24.100 --> 00:42:31.100]   So, it's actually a quadratic, which is basically two m, two columns plus one, multiplied by
[00:42:31.100 --> 00:42:34.100]   two horizontals plus one.
[00:42:34.100 --> 00:42:42.100]   While if we are basically separating this, we are having just the summation of two operations.
[00:42:42.100 --> 00:42:43.100]   So, it's linear.
[00:42:43.100 --> 00:42:44.100]   So, it's quicker.
[00:42:44.100 --> 00:42:48.100]   Doesn't make sense.
[00:42:48.100 --> 00:42:50.100]   It's not one inside of the other.
[00:42:50.100 --> 00:42:54.100]   It's one summed with the other.
[00:42:54.100 --> 00:42:56.100]   Does that...
[00:42:56.100 --> 00:42:58.100]   So, that's the filter size.
[00:42:58.100 --> 00:43:00.100]   Yeah.
[00:43:00.100 --> 00:43:02.100]   So, it's the filter size.
[00:43:02.100 --> 00:43:03.100]   Yeah.
[00:43:03.100 --> 00:43:04.100]   Yeah.
[00:43:04.100 --> 00:43:05.100]   Yeah.
[00:43:05.100 --> 00:43:06.100]   Yes.
[00:43:06.100 --> 00:43:09.100]   You've clarified some of the speed m and n terms.
[00:43:09.100 --> 00:43:10.100]   Is that the filter?
[00:43:10.100 --> 00:43:11.100]   Yeah.
[00:43:11.100 --> 00:43:21.100]   Yeah.
[00:43:21.100 --> 00:43:24.100]   Yeah.
[00:43:24.100 --> 00:43:29.100]   Yeah.
[00:43:29.100 --> 00:43:31.100]   Okay.
[00:43:31.100 --> 00:43:33.100]   If there...
[00:43:33.100 --> 00:43:36.100]   Until here, it's everything clear.
[00:43:36.100 --> 00:43:43.100]   Then I will continue with the normal slides.
[00:43:43.100 --> 00:43:52.100]   I think we came until here, right?
[00:43:52.100 --> 00:43:53.100]   Yes.
[00:43:53.100 --> 00:43:55.100]   Does anyone remember?
[00:43:55.100 --> 00:43:57.100]   Okay.
[00:43:57.100 --> 00:43:59.100]   So, yeah.
[00:43:59.100 --> 00:44:12.100]   Basically, the scale space, which is basically what you have seen after seeing the Gaussian
[00:44:12.100 --> 00:44:15.100]   smoothing kernel, this brings us to the scale space.
[00:44:15.100 --> 00:44:20.100]   So, basically, a convolution of a Gaussian with standard deviation, which is going to
[00:44:20.100 --> 00:44:21.100]   be represented.
[00:44:21.100 --> 00:44:28.100]   Sigma with itself is a Gaussian standard deviation, which is the deviation of the square of two.
[00:44:28.100 --> 00:44:35.100]   So, basically, this sentence, which is repeated convolutions by a Gaussian filter, produces
[00:44:35.100 --> 00:44:37.100]   the scale space of an image.
[00:44:37.100 --> 00:44:39.100]   So, you're going to see this here.
[00:44:39.100 --> 00:44:44.100]   We're having the first image, which is the fishes you have seen before.
[00:44:44.100 --> 00:44:49.100]   Probably when Philip, who is the head TA of this, is going to upload the slides to you,
[00:44:49.100 --> 00:44:52.100]   you will have much sharper image.
[00:44:52.100 --> 00:44:55.100]   It technically should look quite good.
[00:44:55.100 --> 00:45:00.100]   But, basically, we're applying a convolution size 11 by 11 with the standard deviation of
[00:45:00.100 --> 00:45:01.100]   three.
[00:45:01.100 --> 00:45:12.100]   So, as you can see, every time I apply the convolution over the image, first, as you can see, this
[00:45:12.100 --> 00:45:16.100]   one is cut out, but the border should be actually much thicker.
[00:45:16.100 --> 00:45:19.100]   It was just cut out.
[00:45:19.100 --> 00:45:23.100]   But you can see that the image is getting blurr and blurr.
[00:45:23.100 --> 00:45:27.100]   Here, still, we are having some small details like on the fishes.
[00:45:27.100 --> 00:45:33.100]   We're having kind of like, we're still seeing some, like, also lighter details.
[00:45:33.100 --> 00:45:36.100]   There, already, most of the fish patterns are gone.
[00:45:36.100 --> 00:45:40.100]   Here, nothing's left besides the fishes.
[00:45:40.100 --> 00:45:43.100]   And the light fishes are also, like, gone already.
[00:45:43.100 --> 00:45:47.100]   So, this is kind of how, basically, the scale space.
[00:45:47.100 --> 00:45:48.100]   Yeah.
[00:45:48.100 --> 00:46:14.100]   [ Inaudible ]
[00:46:14.100 --> 00:46:17.100]   Wait, what are you pointing?
[00:46:17.100 --> 00:46:25.100]   [ Inaudible ]
[00:46:25.100 --> 00:46:33.100]   So, it is a bit tricky to say in this kind of case, because at this point, this is just
[00:46:33.100 --> 00:46:34.100]   the blurr.
[00:46:34.100 --> 00:46:41.100]   So, if you had this in MATLAB, you would be able to actually see the pixel, like, what
[00:46:41.100 --> 00:46:43.100]   is basically happening on the image.
[00:46:43.100 --> 00:46:45.100]   You could kind of check the coordinate.
[00:46:45.100 --> 00:46:47.100]   And, yeah, it's not growing inward.
[00:46:47.100 --> 00:46:49.100]   You're right on that.
[00:46:49.100 --> 00:46:51.100]   Is that what you said?
[00:46:51.100 --> 00:47:00.100]   [ Inaudible ]
[00:47:00.100 --> 00:47:03.100]   It's actually, sorry, it's growing inward.
[00:47:03.100 --> 00:47:04.100]   Yes.
[00:47:04.100 --> 00:47:05.100]   It is growing inward.
[00:47:05.100 --> 00:47:10.100]   But the problem is at this point, I can't even tell you on my high quality slide.
[00:47:10.100 --> 00:47:11.100]   If --
[00:47:11.100 --> 00:47:14.100]   [ Inaudible ]
[00:47:14.100 --> 00:47:15.100]   Yeah.
[00:47:15.100 --> 00:47:21.100]   The pictures are actually -- maybe I can show you, but, yeah, there is -- these pictures
[00:47:21.100 --> 00:47:24.100]   are from someone, from a photographer.
[00:47:24.100 --> 00:47:27.100]   So, they are just taken for the slideshow.
[00:47:27.100 --> 00:47:31.100]   It's not really that Mark made this.
[00:47:31.100 --> 00:47:32.100]   Yeah.
[00:47:32.100 --> 00:47:33.100]   Not only that.
[00:47:33.100 --> 00:47:38.100]   I mean, you can see in this image that just already the image size is different.
[00:47:38.100 --> 00:47:42.100]   And it's just because he cropped it.
[00:47:42.100 --> 00:47:44.100]   Okay.
[00:47:44.100 --> 00:47:51.100]   So, which basically brings up to the top five reasons to choose the Gaussian kernel, which
[00:47:51.100 --> 00:47:54.100]   is first, they are rotationally symmetric.
[00:47:54.100 --> 00:47:57.100]   Second, they have a single lobe.
[00:47:57.100 --> 00:47:59.100]   So, neighbors influence decreases monotonically.
[00:47:59.100 --> 00:48:02.100]   Still, one open frequency domain.
[00:48:02.100 --> 00:48:08.100]   Simple relationship between the standard deviation and easy to implement efficiently.
[00:48:08.100 --> 00:48:13.100]   Those are kind of the top reasons if you want to choose a Gaussian filter for your images
[00:48:13.100 --> 00:48:15.100]   from now on.
[00:48:15.100 --> 00:48:18.100]   So, now you have seen Gaussian filters.
[00:48:18.100 --> 00:48:23.100]   You have seen basically the ones that we are using for blurring and the one that we are
[00:48:23.100 --> 00:48:25.100]   using for sharpening.
[00:48:25.100 --> 00:48:27.100]   This brings us to differential filters.
[00:48:27.100 --> 00:48:31.100]   So, we are having proits and several operators.
[00:48:31.100 --> 00:48:33.100]   They look like this.
[00:48:33.100 --> 00:48:40.100]   So, you can see that they are mostly focusing on the vertical information on how the filters
[00:48:40.100 --> 00:48:41.100]   are made.
[00:48:41.100 --> 00:48:46.100]   These are the standard filters that you normally find when you Google image filters.
[00:48:46.100 --> 00:48:50.100]   Like, they are the general ones that you will find information about.
[00:48:50.100 --> 00:48:56.100]   Has anyone used them before or heard of them before?
[00:48:56.100 --> 00:48:58.100]   One person?
[00:48:58.100 --> 00:49:00.100]   Okay.
[00:49:00.100 --> 00:49:05.100]   You are not -- as far as I know, you are actually going to see these ones in more detail in
[00:49:05.100 --> 00:49:07.100]   the practical part.
[00:49:07.100 --> 00:49:09.100]   So, you are actually going to work with these.
[00:49:09.100 --> 00:49:12.100]   So, you are going to get more information about these.
[00:49:12.100 --> 00:49:17.100]   That is why we are currently moving to the high pass filters.
[00:49:17.100 --> 00:49:24.100]   Which maybe if they remind you a bit, at least to me, they remind me of a Gaussian filter.
[00:49:24.100 --> 00:49:29.100]   So, we are having the importance on the center pixel and we are having the surroundings.
[00:49:29.100 --> 00:49:34.100]   That one is basically enhancing the neighbors of the center.
[00:49:34.100 --> 00:49:36.100]   And this one is the high pass filter.
[00:49:36.100 --> 00:49:39.100]   Which in this case is of course not like Gaussian.
[00:49:39.100 --> 00:49:46.100]   But, yeah, basically we are putting the strength on the center pixel and, yeah, moving over
[00:49:46.100 --> 00:49:47.100]   the neighborhood.
[00:49:47.100 --> 00:49:50.100]   This is how this looks.
[00:49:50.100 --> 00:49:55.100]   So, in both cases, they are really similar.
[00:49:55.100 --> 00:49:58.100]   So, basically, I am going to show you how this looks.
[00:49:58.100 --> 00:50:01.100]   So, basically, I am going to show you how this looks.
[00:50:01.100 --> 00:50:04.100]   So, basically, I am going to show you how this looks.
[00:50:04.100 --> 00:50:06.100]   So, basically, I am going to show you how this looks.
[00:50:06.100 --> 00:50:08.100]   So, basically, I am going to show you how this looks.
[00:50:08.100 --> 00:50:10.100]   So, basically, I am going to show you how this looks.
[00:50:10.100 --> 00:50:12.100]   So, basically, I am going to show you how this looks.
[00:50:12.100 --> 00:50:14.100]   So, basically, I am going to show you how this looks.
[00:50:14.100 --> 00:50:16.100]   So, basically, I am going to show you how this looks.
[00:50:16.100 --> 00:50:18.100]   So, basically, I am going to show you how this looks.
[00:50:18.100 --> 00:50:20.100]   So, basically, I am going to show you how this looks.
[00:50:20.100 --> 00:50:22.100]   So, basically, I am going to show you how this looks.
[00:50:22.100 --> 00:50:24.100]   So, basically, I am going to show you how this looks.
[00:50:24.100 --> 00:50:26.100]   So, basically, I am going to show you how this looks.
[00:50:26.100 --> 00:50:28.100]   So, basically, I am going to show you how this looks.
[00:50:28.100 --> 00:50:30.100]   So, basically, I am going to show you how this looks.
[00:50:30.100 --> 00:50:32.100]   So, basically, I am going to show you how this looks.
[00:50:32.100 --> 00:50:34.100]   So, basically, I am going to show you how this looks.
[00:50:34.100 --> 00:50:36.100]   So, basically, I am going to show you how this looks.
[00:50:36.100 --> 00:50:38.100]   So, basically, I am going to show you how this looks.
[00:50:38.100 --> 00:50:40.100]   So, basically, I am going to show you how this looks.
[00:50:40.100 --> 00:50:42.100]   So, basically, I am going to show you how this looks.
[00:50:42.100 --> 00:50:44.100]   So, basically, I am going to show you how this looks.
[00:50:44.100 --> 00:50:46.100]   So, basically, I am going to show you how this looks.
[00:50:46.100 --> 00:50:48.100]   So, basically, I am going to show you how this looks.
[00:50:48.100 --> 00:50:50.100]   So, basically, I am going to show you how this looks.
[00:50:50.100 --> 00:50:52.100]   So, basically, I am going to show you how this looks.
[00:50:52.100 --> 00:50:54.100]   So, basically, I am going to show you how this looks.
[00:50:54.100 --> 00:50:56.100]   So, basically, I am going to show you how this looks.
[00:50:56.100 --> 00:50:58.100]   So, basically, I am going to show you how this looks.
[00:50:58.100 --> 00:51:00.100]   So, basically, I am going to show you how this looks.
[00:51:00.100 --> 00:51:02.100]   So, basically, I am going to show you how this looks.
[00:51:02.100 --> 00:51:04.100]   So, basically, I am going to show you how this looks.
[00:51:04.100 --> 00:51:06.100]   So, basically, I am going to show you how this looks.
[00:51:06.100 --> 00:51:08.100]   So, basically, I am going to show you how this looks.
[00:51:08.100 --> 00:51:10.100]   So, basically, I am going to show you how this looks.
[00:51:10.100 --> 00:51:12.100]   So, basically, I am going to show you how this looks.
[00:51:12.100 --> 00:51:14.100]   So, basically, I am going to show you how this looks.
[00:51:14.100 --> 00:51:16.100]   So, basically, I am going to show you how this looks.
[00:51:16.100 --> 00:51:18.100]   So, basically, I am going to show you how this looks.
[00:51:18.100 --> 00:51:20.100]   So, basically, I am going to show you how this looks.
[00:51:20.100 --> 00:51:22.100]   So, basically, I am going to show you how this looks.
[00:51:22.100 --> 00:51:24.100]   So, basically, I am going to show you how this looks.
[00:51:24.100 --> 00:51:26.100]   So, basically, I am going to show you how this looks.
[00:51:26.100 --> 00:51:28.100]   So, basically, I am going to show you how this looks.
[00:51:28.100 --> 00:51:30.100]   So, basically, I am going to show you how this looks.
[00:51:30.100 --> 00:51:32.100]   So, basically, I am going to show you how this looks.
[00:51:32.100 --> 00:51:34.100]   So, basically, I am going to show you how this looks.
[00:51:34.100 --> 00:51:36.100]   So, basically, I am going to show you how this looks.
[00:51:36.100 --> 00:51:38.100]   So, basically, I am going to show you how this looks.
[00:51:38.100 --> 00:51:40.100]   So, basically, I am going to show you how this looks.
[00:51:40.100 --> 00:51:42.100]   So, basically, I am going to show you how this looks.
[00:51:42.100 --> 00:51:44.100]   So, basically, I am going to show you how this looks.
[00:51:44.100 --> 00:51:46.100]   So, basically, I am going to show you how this looks.
[00:51:46.100 --> 00:51:48.100]   So, basically, I am going to show you how this looks.
[00:51:48.100 --> 00:51:50.100]   So, basically, I am going to show you how this looks.
[00:51:50.100 --> 00:51:52.100]   So, basically, I am going to show you how this looks.
[00:51:52.100 --> 00:51:54.100]   So, basically, I am going to show you how this looks.
[00:51:54.100 --> 00:51:56.100]   So, basically, I am going to show you how this looks.
[00:51:56.100 --> 00:51:58.100]   So, basically, I am going to show you how this looks.
[00:51:58.100 --> 00:52:00.100]   So, basically, I am going to show you how this looks.
[00:52:00.100 --> 00:52:02.100]   So, basically, I am going to show you how this looks.
[00:52:02.100 --> 00:52:04.100]   So, basically, I am going to show you how this looks.
[00:52:04.100 --> 00:52:06.100]   So, basically, I am going to show you how this looks.
[00:52:06.100 --> 00:52:08.100]   So, basically, I am going to show you how this looks.
[00:52:08.100 --> 00:52:10.100]   So, basically, I am going to show you how this looks.
[00:52:10.100 --> 00:52:12.100]   So, basically, I am going to show you how this looks.
[00:52:12.100 --> 00:52:14.100]   So, basically, I am going to show you how this looks.
[00:52:14.100 --> 00:52:16.100]   So, basically, I am going to show you how this looks.
[00:52:16.100 --> 00:52:18.100]   So, basically, I am going to show you how this looks.
[00:52:18.100 --> 00:52:20.100]   So, basically, I am going to show you how this looks.
[00:52:20.100 --> 00:52:22.100]   So, basically, I am going to show you how this looks.
[00:52:22.100 --> 00:52:24.100]   So, basically, I am going to show you how this looks.
[00:52:24.100 --> 00:52:26.100]   So, basically, I am going to show you how this looks.
[00:52:26.100 --> 00:52:28.100]   So, basically, I am going to show you how this looks.
[00:52:28.100 --> 00:52:30.100]   So, basically, I am going to show you how this looks.
[00:52:30.100 --> 00:52:32.100]   So, basically, I am going to show you how this looks.
[00:52:32.100 --> 00:52:34.100]   So, basically, I am going to show you how this looks.
[00:52:34.100 --> 00:52:36.100]   So, basically, I am going to show you how this looks.
[00:52:36.100 --> 00:52:38.100]   So, basically, I am going to show you how this looks.
[00:52:38.100 --> 00:52:40.100]   So, basically, I am going to show you how this looks.
[00:52:40.100 --> 00:52:42.100]   So, basically, I am going to show you how this looks.
[00:52:42.100 --> 00:52:44.100]   So, basically, I am going to show you how this looks.
[00:52:44.100 --> 00:52:46.100]   So, basically, I am going to show you how this looks.
[00:52:46.100 --> 00:52:48.100]   So, basically, I am going to show you how this looks.
[00:52:48.100 --> 00:52:50.100]   So, basically, I am going to show you how this looks.
[00:52:50.100 --> 00:52:52.100]   So, basically, I am going to show you how this looks.
[00:52:52.100 --> 00:52:54.100]   So, basically, I am going to show you how this looks.
[00:52:54.100 --> 00:52:56.100]   So, basically, I am going to show you how this looks.
[00:52:56.100 --> 00:52:58.100]   So, basically, I am going to show you how this looks.
[00:52:58.100 --> 00:53:00.100]   So, basically, I am going to show you how this looks.
[00:53:00.100 --> 00:53:02.100]   So, basically, I am going to show you how this looks.
[00:53:02.100 --> 00:53:04.100]   So, basically, I am going to show you how this looks.
[00:53:04.100 --> 00:53:06.100]   So, basically, I am going to show you how this looks.
[00:53:06.100 --> 00:53:08.100]   So, basically, I am going to show you how this looks.
[00:53:08.100 --> 00:53:10.100]   So, basically, I am going to show you how this looks.
[00:53:10.100 --> 00:53:12.100]   So, basically, I am going to show you how this looks.
[00:53:12.100 --> 00:53:14.100]   So, basically, I am going to show you how this looks.
[00:53:14.100 --> 00:53:16.100]   So, basically, I am going to show you how this looks.
[00:53:16.100 --> 00:53:18.100]   So, basically, I am going to show you how this looks.
[00:53:18.100 --> 00:53:20.100]   So, basically, I am going to show you how this looks.
[00:53:20.100 --> 00:53:22.100]   So, basically, I am going to show you how this looks.
[00:53:22.100 --> 00:53:24.100]   So, basically, I am going to show you how this looks.
[00:53:24.100 --> 00:53:26.100]   So, basically, I am going to show you how this looks.
[00:53:26.100 --> 00:53:28.100]   So, basically, I am going to show you how this looks.
[00:53:28.100 --> 00:53:30.100]   So, basically, I am going to show you how this looks.
[00:53:30.100 --> 00:53:32.100]   So, basically, I am going to show you how this looks.
[00:53:32.100 --> 00:53:34.100]   So, basically, I am going to show you how this looks.
[00:53:34.100 --> 00:53:36.100]   So, basically, I am going to show you how this looks.
[00:53:36.100 --> 00:53:38.100]   So, basically, I am going to show you how this looks.
[00:53:38.100 --> 00:53:40.100]   So, basically, I am going to show you how this looks.
[00:53:40.100 --> 00:53:42.100]   So, basically, I am going to show you how this looks.
[00:53:42.100 --> 00:53:44.100]   So, basically, I am going to show you how this looks.
[00:53:44.100 --> 00:53:46.100]   So, basically, I am going to show you how this looks.
[00:53:46.100 --> 00:53:48.100]   So, basically, I am going to show you how this looks.
[00:53:48.100 --> 00:53:50.100]   So, basically, I am going to show you how this looks.
[00:53:50.100 --> 00:53:52.100]   So, basically, I am going to show you how this looks.
[00:53:52.100 --> 00:53:54.100]   So, basically, I am going to show you how this looks.
[00:53:54.100 --> 00:53:56.100]   So, basically, I am going to show you how this looks.
[00:53:56.100 --> 00:53:58.100]   So, basically, I am going to show you how this looks.
[00:53:58.100 --> 00:54:00.100]   So, basically, I am going to show you how this looks.
[00:54:00.100 --> 00:54:02.100]   So, basically, I am going to show you how this looks.
[00:54:02.100 --> 00:54:04.100]   So, basically, I am going to show you how this looks.
[00:54:04.100 --> 00:54:06.100]   So, basically, I am going to show you how this looks.
[00:54:06.100 --> 00:54:08.100]   So, basically, I am going to show you how this looks.
[00:54:08.100 --> 00:54:10.100]   So, basically, I am going to show you how this looks.
[00:54:10.100 --> 00:54:12.100]   So, basically, I am going to show you how this looks.
[00:54:12.100 --> 00:54:14.100]   So, basically, I am going to show you how this looks.
[00:54:14.100 --> 00:54:16.100]   So, basically, I am going to show you how this looks.
[00:54:16.100 --> 00:54:18.100]   So, basically, I am going to show you how this looks.
[00:54:18.100 --> 00:54:20.100]   So, basically, I am going to show you how this looks.
[00:54:20.100 --> 00:54:22.100]   So, basically, I am going to show you how this looks.
[00:54:22.100 --> 00:54:24.100]   So, basically, I am going to show you how this looks.
[00:54:24.100 --> 00:54:26.100]   So, basically, I am going to show you how this looks.
[00:54:26.100 --> 00:54:28.100]   So, basically, I am going to show you how this looks.
[00:54:28.100 --> 00:54:30.100]   So, basically, I am going to show you how this looks.
[00:54:30.100 --> 00:54:32.100]   So, basically, I am going to show you how this looks.
[00:54:32.100 --> 00:54:34.100]   So, basically, I am going to show you how this looks.
[00:54:34.100 --> 00:54:36.100]   So, basically, I am going to show you how this looks.
[00:54:36.100 --> 00:54:38.100]   So, basically, I am going to show you how this looks.
[00:54:38.100 --> 00:54:40.100]   So, basically, I am going to show you how this looks.
[00:54:40.100 --> 00:54:42.100]   So, basically, I am going to show you how this looks.
[00:54:42.100 --> 00:54:44.100]   So, basically, I am going to show you how this looks.
[00:54:44.100 --> 00:54:46.100]   So, basically, I am going to show you how this looks.
[00:54:46.100 --> 00:54:48.100]   So, basically, I am going to show you how this looks.
[00:54:48.100 --> 00:54:50.100]   So, basically, I am going to show you how this looks.
[00:54:50.100 --> 00:54:52.100]   So, basically, I am going to show you how this looks.
[00:54:52.100 --> 00:54:54.100]   So, basically, I am going to show you how this looks.
[00:54:54.100 --> 00:54:56.100]   So, basically, I am going to show you how this looks.
[00:54:56.100 --> 00:54:58.100]   So, basically, I am going to show you how this looks.
[00:54:58.100 --> 00:55:00.100]   So, basically, I am going to show you how this looks.
[00:55:00.100 --> 00:55:02.100]   So, basically, I am going to show you how this looks.
[00:55:02.100 --> 00:55:04.100]   So, basically, I am going to show you how this looks.
[00:55:04.100 --> 00:55:06.100]   So, basically, I am going to show you how this looks.
[00:55:06.100 --> 00:55:08.100]   So, basically, I am going to show you how this looks.
[00:55:08.100 --> 00:55:10.100]   So, basically, I am going to show you how this looks.
[00:55:10.100 --> 00:55:12.100]   So, basically, I am going to show you how this looks.
[00:55:12.100 --> 00:55:14.100]   So, basically, I am going to show you how this looks.
[00:55:14.100 --> 00:55:16.100]   So, basically, I am going to show you how this looks.
[00:55:16.100 --> 00:55:18.100]   So, basically, I am going to show you how this looks.
[00:55:18.100 --> 00:55:20.100]   So, basically, I am going to show you how this looks.
[00:55:20.100 --> 00:55:22.100]   So, basically, I am going to show you how this looks.
[00:55:22.100 --> 00:55:24.100]   So, basically, I am going to show you how this looks.
[00:55:24.100 --> 00:55:26.100]   So, basically, I am going to show you how this looks.
[00:55:26.100 --> 00:55:28.100]   So, basically, I am going to show you how this looks.
[00:55:28.100 --> 00:55:30.100]   So, basically, I am going to show you how this looks.
[00:55:30.100 --> 00:55:32.100]   So, basically, I am going to show you how this looks.
[00:55:32.100 --> 00:55:34.100]   So, basically, I am going to show you how this looks.
[00:55:34.100 --> 00:55:36.100]   So, basically, I am going to show you how this looks.
[00:55:36.100 --> 00:55:38.100]   So, basically, I am going to show you how this looks.
[00:55:38.100 --> 00:55:40.100]   So, basically, I am going to show you how this looks.
[00:55:40.100 --> 00:55:42.100]   So, basically, I am going to show you how this looks.
[00:55:42.100 --> 00:55:44.100]   So, basically, I am going to show you how this looks.
[00:55:44.100 --> 00:55:46.100]   So, basically, I am going to show you how this looks.
[00:55:46.100 --> 00:55:48.100]   So, basically, I am going to show you how this looks.
[00:55:48.100 --> 00:55:50.100]   So, basically, I am going to show you how this looks.
[00:55:50.100 --> 00:55:52.100]   So, basically, I am going to show you how this looks.
[00:55:52.100 --> 00:55:54.100]   So, basically, I am going to show you how this looks.
[00:55:54.100 --> 00:55:56.100]   So, basically, I am going to show you how this looks.
[00:55:56.100 --> 00:55:58.100]   So, basically, I am going to show you how this looks.
[00:55:58.100 --> 00:56:00.100]   So, basically, I am going to show you how this looks.
[00:56:00.100 --> 00:56:02.100]   So, basically, I am going to show you how this looks.
[00:56:02.100 --> 00:56:04.100]   So, basically, I am going to show you how this looks.
[00:56:04.100 --> 00:56:06.100]   So, basically, I am going to show you how this looks.
[00:56:06.100 --> 00:56:08.100]   So, basically, I am going to show you how this looks.
[00:56:08.100 --> 00:56:10.100]   So, basically, I am going to show you how this looks.
[00:56:10.100 --> 00:56:12.100]   So, basically, I am going to show you how this looks.
[00:56:12.100 --> 00:56:14.100]   So, basically, I am going to show you how this looks.
[00:56:14.100 --> 00:56:16.100]   So, basically, I am going to show you how this looks.
[00:56:16.100 --> 00:56:18.100]   So, basically, I am going to show you how this looks.
[00:56:18.100 --> 00:56:20.100]   So, basically, I am going to show you how this looks.
[00:56:20.100 --> 00:56:22.100]   So, basically, I am going to show you how this looks.
[00:56:22.100 --> 00:56:24.100]   So, basically, I am going to show you how this looks.
[00:56:24.100 --> 00:56:26.100]   So, basically, I am going to show you how this looks.
[00:56:26.100 --> 00:56:28.100]   So, basically, I am going to show you how this looks.
[00:56:28.100 --> 00:56:30.100]   So, basically, I am going to show you how this looks.
[00:56:30.100 --> 00:56:32.100]   So, basically, I am going to show you how this looks.
[00:56:32.100 --> 00:56:34.100]   So, basically, I am going to show you how this looks.
[00:56:34.100 --> 00:56:36.100]   So, basically, I am going to show you how this looks.
[00:56:36.100 --> 00:56:38.100]   So, basically, I am going to show you how this looks.
[00:56:38.100 --> 00:56:40.100]   So, basically, I am going to show you how this looks.
[00:56:40.100 --> 00:56:42.100]   So, basically, I am going to show you how this looks.
[00:56:42.100 --> 00:56:44.100]   So, basically, I am going to show you how this looks.
[00:56:44.100 --> 00:56:46.100]   So, basically, I am going to show you how this looks.
[00:56:46.100 --> 00:56:48.100]   So, basically, I am going to show you how this looks.
[00:56:48.100 --> 00:56:50.100]   So, basically, I am going to show you how this looks.
[00:56:50.100 --> 00:56:52.100]   So, basically, I am going to show you how this looks.
[00:56:52.100 --> 00:56:54.100]   So, basically, I am going to show you how this looks.
[00:56:54.100 --> 00:56:56.100]   So, basically, I am going to show you how this looks.
[00:56:56.100 --> 00:56:58.100]   So, basically, I am going to show you how this looks.
[00:56:58.100 --> 00:57:00.100]   So, basically, I am going to show you how this looks.
[00:57:00.100 --> 00:57:02.100]   So, basically, I am going to show you how this looks.
[00:57:02.100 --> 00:57:04.100]   So, basically, I am going to show you how this looks.
[00:57:04.100 --> 00:57:06.100]   So, basically, I am going to show you how this looks.
[00:57:06.100 --> 00:57:08.100]   So, basically, I am going to show you how this looks.
[00:57:08.100 --> 00:57:10.100]   So, basically, I am going to show you how this looks.
[00:57:10.100 --> 00:57:12.100]   So, basically, I am going to show you how this looks.
[00:57:12.100 --> 00:57:14.100]   So, basically, I am going to show you how this looks.
[00:57:14.100 --> 00:57:16.100]   So, basically, I am going to show you how this looks.
[00:57:16.100 --> 00:57:18.100]   So, basically, I am going to show you how this looks.
[00:57:18.100 --> 00:57:20.100]   So, basically, I am going to show you how this looks.
[00:57:20.100 --> 00:57:22.100]   So, basically, I am going to show you how this looks.
[00:57:22.100 --> 00:57:24.100]   So, basically, I am going to show you how this looks.
[00:57:24.100 --> 00:57:26.100]   So, basically, I am going to show you how this looks.
[00:57:26.100 --> 00:57:28.100]   So, basically, I am going to show you how this looks.
[00:57:28.100 --> 00:57:30.100]   So, basically, I am going to show you how this looks.
[00:57:30.100 --> 00:57:32.100]   So, basically, I am going to show you how this looks.
[00:57:32.100 --> 00:57:34.100]   So, basically, I am going to show you how this looks.
[00:57:34.100 --> 00:57:36.100]   So, basically, I am going to show you how this looks.
[00:57:36.100 --> 00:57:38.100]   So, basically, I am going to show you how this looks.
[00:57:38.100 --> 00:57:40.100]   So, basically, I am going to show you how this looks.
[00:57:40.100 --> 00:57:42.100]   So, basically, I am going to show you how this looks.
[00:57:42.100 --> 00:57:44.100]   So, basically, I am going to show you how this looks.
[00:57:44.100 --> 00:57:46.100]   So, basically, I am going to show you how this looks.
[00:57:46.100 --> 00:57:48.100]   So, basically, I am going to show you how this looks.
[00:57:48.100 --> 00:57:50.100]   So, basically, I am going to show you how this looks.
[00:57:50.100 --> 00:57:52.100]   So, basically, I am going to show you how this looks.
[00:57:52.100 --> 00:57:54.100]   So, basically, I am going to show you how this looks.
[00:57:54.100 --> 00:57:56.100]   So, basically, I am going to show you how this looks.
[00:57:56.100 --> 00:57:58.100]   So, basically, I am going to show you how this looks.
[00:57:58.100 --> 00:58:00.100]   So, basically, I am going to show you how this looks.
[00:58:00.100 --> 00:58:02.100]   So, basically, I am going to show you how this looks.
[00:58:02.100 --> 00:58:04.100]   So, basically, I am going to show you how this looks.
[00:58:04.100 --> 00:58:06.100]   So, basically, I am going to show you how this looks.
[00:58:06.100 --> 00:58:08.100]   So, basically, I am going to show you how this looks.
[00:58:08.100 --> 00:58:10.100]   So, basically, I am going to show you how this looks.
[00:58:10.100 --> 00:58:12.100]   So, basically, I am going to show you how this looks.
[00:58:12.100 --> 00:58:14.100]   So, basically, I am going to show you how this looks.
[00:58:14.100 --> 00:58:16.100]   So, basically, I am going to show you how this looks.
[00:58:16.100 --> 00:58:18.100]   So, basically, I am going to show you how this looks.
[00:58:18.100 --> 00:58:20.100]   So, basically, I am going to show you how this looks.
[00:58:20.100 --> 00:58:22.100]   So, basically, I am going to show you how this looks.
