
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:40:54.720 --> 00:40:57.280]   between all neighboring pixels.
[00:40:57.280 --> 00:40:59.880]   In this case, a four neighborhood.
[00:40:59.880 --> 00:41:05.680]   And we'll essentially now express
[00:41:05.680 --> 00:41:08.640]   the problem we want to solve, the segmentation problem,
[00:41:08.640 --> 00:41:11.680]   as explicitly an energy minimization, which
[00:41:11.680 --> 00:41:16.560]   is also related in physics to ising models and other things.
[00:41:16.560 --> 00:41:18.320]   That's also where it's actually--
[00:41:18.320 --> 00:41:22.840]   because of the relation to problems in physics,
[00:41:22.840 --> 00:41:25.240]   that we talk about energy minimization,
[00:41:25.240 --> 00:41:27.520]   because in physics it's actually about solving
[00:41:27.520 --> 00:41:30.760]   energy minimization problems.
[00:41:30.760 --> 00:41:34.640]   And so we will both have a preference
[00:41:34.640 --> 00:41:39.320]   for each of those pixels to be either foreground or background
[00:41:39.320 --> 00:41:42.400]   based on the data, as we've seen before.
[00:41:42.400 --> 00:41:47.120]   And we'll have also-- we'll express a preference for neighbors
[00:41:47.120 --> 00:41:51.720]   with those that are connected to have the same label.
[00:41:51.720 --> 00:41:55.160]   So we'll put a cost for this label
[00:41:55.160 --> 00:41:59.320]   to deviate from what the data is telling us.
[00:41:59.320 --> 00:42:03.720]   And we'll also put a cost for neighbors to be different.
[00:42:03.720 --> 00:42:07.120]   And so we'll have two sets of things.
[00:42:07.120 --> 00:42:11.000]   We'll have a sum of all of the cost per pixel
[00:42:11.000 --> 00:42:16.400]   of having a labeling follow the data.
[00:42:16.400 --> 00:42:19.160]   And so this is a unary cost.
[00:42:19.160 --> 00:42:22.360]   It's called unary because it's per pixel, single pixel.
[00:42:22.360 --> 00:42:26.640]   And then we'll have binary cost, which essentially combines
[00:42:26.640 --> 00:42:30.400]   two sides, two sides that are connected.
[00:42:30.400 --> 00:42:32.760]   So only neighbors.
[00:42:32.760 --> 00:42:35.840]   And so this is for these edges.
[00:42:35.840 --> 00:42:40.840]   And essentially, it will be what we'll choose is actually
[00:42:40.840 --> 00:42:44.120]   to have them-- I think I have it here--
[00:42:44.120 --> 00:42:48.480]   we'll put a cost of 0 if both have the same label, 0, 0,
[00:42:48.480 --> 00:42:52.320]   or 1, 1, and a fixed cost, k, if they have a different label.
[00:42:52.320 --> 00:42:58.800]   So this cost will either be 0 or k for each of the weights.
[00:42:58.800 --> 00:43:00.160]   And this one will be something that
[00:43:00.160 --> 00:43:02.120]   can be more complicated that's based on the data.
[00:43:02.880 --> 00:43:03.380]   OK.
[00:43:03.380 --> 00:43:08.600]   So it's essentially a label smoothing on the grid.
[00:43:08.600 --> 00:43:10.160]   Oh, actually, here's the cost.
[00:43:10.160 --> 00:43:19.640]   So this is the negative log likelihood of the label given
[00:43:19.640 --> 00:43:21.080]   the data.
[00:43:21.080 --> 00:43:24.280]   So given the measurement you have,
[00:43:24.280 --> 00:43:27.920]   what does it cost to assign it label 0?
[00:43:27.920 --> 00:43:31.360]   How likely is it to assign it label 0?
[00:43:31.360 --> 00:43:33.800]   What is it if you assign it label 1?
[00:43:33.800 --> 00:43:34.300]   Yes?
[00:43:34.300 --> 00:43:36.120]   What is the meaning of the good time of sign?
[00:43:36.120 --> 00:43:41.520]   Wait.
[00:43:41.520 --> 00:43:43.160]   Which one?
[00:43:43.160 --> 00:43:45.760]   Good time of sign.
[00:43:45.760 --> 00:43:48.720]   Yes, so this here--
[00:43:48.720 --> 00:43:52.840]   so this is just this function, this unary cost function.
[00:43:52.840 --> 00:43:54.480]   So this is just a function.
[00:43:54.480 --> 00:43:57.960]   The function is given there.
[00:43:57.960 --> 00:43:59.240]   And that's just a parameter.
[00:44:00.240 --> 00:44:05.160]   So this is meant to represent parameters and data.
[00:44:05.160 --> 00:44:14.440]   So essentially, the way we will solve this--
[00:44:14.440 --> 00:44:17.920]   I will discuss it a bit more in detail after the break--
[00:44:17.920 --> 00:44:20.320]   is essentially to represent all of this
[00:44:20.320 --> 00:44:22.840]   as a discrete optimization problem.
[00:44:22.840 --> 00:44:24.520]   So it turns out that this corresponds to--
[00:44:24.520 --> 00:44:26.520]   it can be solved--
[00:44:26.520 --> 00:44:28.320]   the binary problem actually exactly.
[00:44:28.320 --> 00:44:34.000]   And there's some conditions on both those functions here.
[00:44:34.000 --> 00:44:40.640]   You can actually solve the problem exactly
[00:44:40.640 --> 00:44:42.760]   through a graph cut problem.
[00:44:42.760 --> 00:44:50.800]   Well, essentially, we have these weights here,
[00:44:50.800 --> 00:44:53.560]   represent the unary terms.
[00:44:53.560 --> 00:44:55.960]   These connections here represent--
[00:44:55.960 --> 00:44:59.360]   so we have now a fully connected graph that
[00:44:59.360 --> 00:45:03.640]   connects the source to the sink, which
[00:45:03.640 --> 00:45:06.720]   corresponds to both labels.
[00:45:06.720 --> 00:45:08.680]   And so in the end, we'll do a cut.
[00:45:08.680 --> 00:45:11.840]   And this cut will decide what is assigned to the one label,
[00:45:11.840 --> 00:45:13.320]   what is assigned to the other label.
[00:45:13.320 --> 00:45:16.320]   What you're connected to is what you're assigned to.
[00:45:16.320 --> 00:45:18.480]   We'll discuss this more in detail after the break.
[00:45:18.480 --> 00:45:23.880]   OK, so we'll use Markov-Ranon fields.
[00:45:24.880 --> 00:45:27.440]   We'll solve them with a graph cut.
[00:45:27.440 --> 00:45:34.040]   So essentially, typically, a max flow algorithm.
[00:45:34.040 --> 00:45:42.600]   So essentially, we'll try to estimate
[00:45:42.600 --> 00:45:44.240]   how to get the maximum flow through,
[00:45:44.240 --> 00:45:46.360]   and then the main cut.
[00:45:46.360 --> 00:45:50.160]   So all the places that are saturated
[00:45:50.160 --> 00:45:52.920]   are the ones that get cut.
[00:45:52.920 --> 00:45:54.640]   That's just the algorithms that you
[00:45:54.640 --> 00:45:57.440]   might have seen in some of the theory courses
[00:45:57.440 --> 00:46:00.840]   that have been used for this.
[00:46:00.840 --> 00:46:02.920]   And then you would essentially determine that, OK,
[00:46:02.920 --> 00:46:05.280]   all of those edges are saturated edges.
[00:46:05.280 --> 00:46:06.840]   So those are the ones that are cut.
[00:46:06.840 --> 00:46:10.000]   So essentially, the principle, if you
[00:46:10.000 --> 00:46:12.840]   want to determine the maximum flow,
[00:46:12.840 --> 00:46:15.000]   you just keep pushing more through the network
[00:46:15.000 --> 00:46:17.000]   until a bunch of edges are saturated.
[00:46:17.000 --> 00:46:20.480]   At some point, there must not be a single path
[00:46:20.480 --> 00:46:23.240]   from source to sink.
[00:46:23.240 --> 00:46:25.440]   All the possible paths need to at least somewhere
[00:46:25.440 --> 00:46:28.520]   be saturated, because if not, then along that path,
[00:46:28.520 --> 00:46:31.440]   you could push a little bit more through.
[00:46:31.440 --> 00:46:34.200]   So once everything is saturated, the main cut
[00:46:34.200 --> 00:46:37.880]   is essentially the place of this kind of one connected region.
[00:46:37.880 --> 00:46:39.600]   There could be other random saturated edges,
[00:46:39.600 --> 00:46:43.120]   but there's at least one connected separating cut
[00:46:43.120 --> 00:46:46.160]   that would separate the source from the sink
[00:46:46.160 --> 00:46:50.080]   at that point of saturated edges.
[00:46:50.080 --> 00:46:51.400]   That happens to be the algorithm.
[00:46:51.400 --> 00:46:57.760]   Or that's the problem that can be solved in discrete
[00:46:57.760 --> 00:47:02.480]   optimization that actually solves the optimal solution.
[00:47:02.480 --> 00:47:04.360]   As I said, under some conditions, in particular,
[00:47:04.360 --> 00:47:07.600]   someone was asking, can we have this case negative?
[00:47:07.600 --> 00:47:11.440]   So can we say it's better if neighbors are different?
[00:47:11.440 --> 00:47:12.200]   No, we cannot.
[00:47:12.200 --> 00:47:16.440]   In that case, then you cannot optimize this anymore
[00:47:16.440 --> 00:47:20.720]   with a guaranteed optimal solution at the exit.
[00:47:20.720 --> 00:47:30.240]   So if we essentially find this as the main cut,
[00:47:30.240 --> 00:47:31.800]   we'd cut all of those.
[00:47:31.800 --> 00:47:33.320]   And then essentially, what we have
[00:47:33.320 --> 00:47:37.400]   is that now all of those guys would be labeled with this label.
[00:47:37.400 --> 00:47:39.960]   All of those guys would be labeled with that label.
[00:47:39.960 --> 00:47:44.000]   And that would be the optimal solution for the joint problem
[00:47:44.000 --> 00:47:48.480]   of optimizing all of this energy that
[00:47:48.480 --> 00:47:52.320]   has both unary and pairwise terms, so data terms
[00:47:52.320 --> 00:47:57.320]   and smoothness terms.
[00:47:57.320 --> 00:47:58.600]   This is a smoothness term.
[00:47:58.600 --> 00:48:00.160]   If you have the same--
[00:48:00.160 --> 00:48:02.400]   again, this was here.
[00:48:02.400 --> 00:48:04.160]   If the label is the same, there's no cost.
[00:48:04.160 --> 00:48:07.120]   If two neighbors have the same label, they're both 0.
[00:48:07.120 --> 00:48:07.880]   They're both 1.
[00:48:07.880 --> 00:48:09.080]   No cost.
[00:48:09.080 --> 00:48:11.800]   If they're different, then there's a boundary in your--
[00:48:11.800 --> 00:48:13.920]   that means really, literally, if they're different,
[00:48:13.920 --> 00:48:17.280]   one element of the boundary between your foreground
[00:48:17.280 --> 00:48:19.840]   and your background, then you pay a cost for that.
[00:48:19.840 --> 00:48:22.800]   So in other words, you were saying,
[00:48:22.800 --> 00:48:27.160]   what I'm minimizing is how many boundary connections--
[00:48:27.160 --> 00:48:33.200]   what is the length of my boundary in this four neighborhood.
[00:48:33.200 --> 00:48:35.360]   That's literally discussed here.
[00:48:35.360 --> 00:48:36.720]   k times the length of the boundary.
[00:48:36.720 --> 00:48:42.200]   So also realize that this in a way
[00:48:42.200 --> 00:48:43.640]   is a different formulation when we looked
[00:48:43.640 --> 00:48:45.640]   at the snakes, we also wanted to minimize
[00:48:45.640 --> 00:48:49.880]   how long the boundary was and how bent it was.
[00:48:49.880 --> 00:48:54.800]   It's the same thing expressed in a different way, in a sense.
[00:48:54.800 --> 00:48:56.960]   Again, all those concepts always come back.
[00:48:56.960 --> 00:48:59.800]   If you want to now use modern deep learning and some methods,
[00:48:59.800 --> 00:49:02.920]   you do want to have those terms somehow expressed in there.
[00:49:02.920 --> 00:49:06.320]   This is about choosing your loss function, for example.
[00:49:06.320 --> 00:49:08.560]   That's what you minimize when you train your network.
[00:49:12.400 --> 00:49:15.680]   Again, in a sense, the loss function in a network
[00:49:15.680 --> 00:49:19.520]   is again, you can never solve a problem exactly perfectly,
[00:49:19.520 --> 00:49:20.840]   only if you totally overfit.
[00:49:20.840 --> 00:49:22.800]   So you always have to do trade-offs.
[00:49:22.800 --> 00:49:26.520]   And then the question is, how do you do that trade-off?
[00:49:26.520 --> 00:49:29.160]   How much do you care about these properties versus those properties,
[00:49:29.160 --> 00:49:29.660]   et cetera?
[00:49:29.660 --> 00:49:35.840]   OK, so here just showing a few examples.
[00:49:35.840 --> 00:49:37.680]   This by itself, you don't really need to know.
[00:49:37.680 --> 00:49:39.640]   It's more to illustrate.
[00:49:39.640 --> 00:49:43.240]   This was a foreground label's kind of basics.
[00:49:43.240 --> 00:49:45.200]   And then here, this is actually a model that
[00:49:45.200 --> 00:49:46.920]   tries to look for shadows.
[00:49:46.920 --> 00:49:51.760]   And then somehow, you can unlabel as foreground the things that
[00:49:51.760 --> 00:49:55.880]   actually seem to come from shadow, for example.
[00:49:55.880 --> 00:49:57.600]   So here's a bit an example.
[00:49:57.600 --> 00:50:02.640]   Background image, one of the random images of the live video.
[00:50:02.640 --> 00:50:05.680]   The initial background weight, then here,
[00:50:05.680 --> 00:50:07.360]   a shadow weight that essentially says,
[00:50:07.360 --> 00:50:09.480]   this looks a lot like shadow.
[00:50:09.480 --> 00:50:11.960]   The combination of both gives you this here
[00:50:11.960 --> 00:50:18.360]   as the foreground result that takes the shadow region into account.
[00:50:18.360 --> 00:50:21.000]   And then applying a graph cut to this,
[00:50:21.000 --> 00:50:24.080]   so what we just saw before, could give you something like this,
[00:50:24.080 --> 00:50:27.000]   which regularizes a lot of the small issues.
[00:50:27.000 --> 00:50:31.040]   But if a few too many pixels are labeled the wrong way,
[00:50:31.040 --> 00:50:32.960]   then it can certainly actually increase that,
[00:50:32.960 --> 00:50:36.840]   because by smoothing also the error essentially, in a sense.
[00:50:36.840 --> 00:50:38.560]   So it's not perfect, but it kind of shows you
[00:50:38.560 --> 00:50:41.920]   what you would get a few more examples of this.
[00:50:41.920 --> 00:50:47.640]   I forgot why I was--
[00:50:47.640 --> 00:50:50.000]   I think I mixed this up somehow.
[00:50:50.000 --> 00:50:54.040]   OK, let me switch this.
[00:50:54.040 --> 00:50:54.800]   Here's an example.
[00:50:54.800 --> 00:50:57.840]   This was a paper that was based on graph cuts
[00:50:57.840 --> 00:51:01.600]   and also really placed with the inclusion region
[00:51:01.600 --> 00:51:04.560]   and was iterating between a graph cut, solving the problem,
[00:51:04.560 --> 00:51:09.240]   and then adjusting the inlier distribution,
[00:51:09.240 --> 00:51:12.920]   so both the foreground and background distributions.
[00:51:12.920 --> 00:51:16.160]   So it would use a graph cut to adjust,
[00:51:16.160 --> 00:51:20.280]   to solve the problem based on an inclusion criterion.
[00:51:20.280 --> 00:51:22.440]   Then it would change the inclusion criterion based
[00:51:22.440 --> 00:51:26.160]   on the result of the graph cut, and it would iterate between those two.
[00:51:26.160 --> 00:51:28.440]   This is a very interesting paper published
[00:51:28.440 --> 00:51:34.080]   that Microsoft Research does in years ago or so,
[00:51:34.080 --> 00:51:34.880]   or even a bit more.
[00:51:34.880 --> 00:51:41.680]   So you would start by giving a bounding box, for example,
[00:51:41.680 --> 00:51:43.240]   like this.
[00:51:43.240 --> 00:51:45.000]   And then it would actually-- what it would do
[00:51:45.000 --> 00:51:47.120]   is it would train a model on the foreground.
[00:51:47.120 --> 00:51:49.000]   It would train a model on the background.
[00:51:49.000 --> 00:51:50.760]   So the bounding box is only saying what's inside.
[00:51:50.760 --> 00:51:54.240]   It's also saying what's outside is definitely background.
[00:51:54.240 --> 00:51:56.680]   And what's inside could be both foreground and background.
[00:51:59.440 --> 00:52:04.840]   And here's kind of them playing around for this.
[00:52:04.840 --> 00:52:06.720]   This-- I mean, it should still be-- I
[00:52:06.720 --> 00:52:08.320]   don't know what algorithms they use now,
[00:52:08.320 --> 00:52:12.000]   but up to a few years ago, this was the actual algorithm
[00:52:12.000 --> 00:52:16.600]   that they was put in office and would allow you to cut out
[00:52:16.600 --> 00:52:20.040]   the foreground from an image and do this type of thing.
[00:52:20.040 --> 00:52:25.040]   So this was one of the guys working on this.
[00:52:25.040 --> 00:52:27.000]   These are some of the slides from their presentation
[00:52:27.000 --> 00:52:27.500]   at the time.
[00:52:27.500 --> 00:52:35.080]   In some of the Photoshop and stuff like that,
[00:52:35.080 --> 00:52:39.360]   they had some of these tools that required
[00:52:39.360 --> 00:52:41.440]   you to label a whole bunch of foreground pixels,
[00:52:41.440 --> 00:52:43.520]   and it would do something like this.
[00:52:43.520 --> 00:52:47.240]   Then people did things like intelligent scissors.
[00:52:47.240 --> 00:52:51.960]   The idea here is to-- you label what's definitely inside.
[00:52:51.960 --> 00:52:53.760]   You label what's definitely outside.
[00:52:53.760 --> 00:52:57.400]   And then-- so you can do that very coarsely and fast,
[00:52:57.400 --> 00:52:59.080]   manually.
[00:52:59.080 --> 00:53:02.360]   And then there's-- the algorithm will refine the decision
[00:53:02.360 --> 00:53:04.080]   boundary in the middle.
[00:53:04.080 --> 00:53:06.880]   And how does it do it?
[00:53:06.880 --> 00:53:08.920]   You can actually do a-- essentially,
[00:53:08.920 --> 00:53:11.560]   you can solve this with dynamic programming that
[00:53:11.560 --> 00:53:16.120]   will kind of optimally determine a 1D solution that
[00:53:16.120 --> 00:53:19.280]   closes the loop there.
[00:53:19.280 --> 00:53:24.280]   Anyway, so that would be the kind of result they got.
[00:53:24.280 --> 00:53:27.080]   You could also apply snakes and so on to this.
[00:53:27.080 --> 00:53:30.360]   And then GraphCut required a lot less interaction, just
[00:53:30.360 --> 00:53:33.440]   a box, and would do this.
[00:53:33.440 --> 00:53:35.840]   Again, actually, another illustration.
[00:53:35.840 --> 00:53:37.640]   It's kind of nice in some sense.
[00:53:37.640 --> 00:53:42.800]   So you'll see here, GraphCut, here 1D line in the image.
[00:53:42.800 --> 00:53:45.400]   That's then that kind of illustrated
[00:53:45.400 --> 00:53:47.560]   for that one line, the source and the sync.
[00:53:47.560 --> 00:53:50.160]   And now you kind of see the connections.
[00:53:50.160 --> 00:53:55.280]   This kind of nicely illustrates how the data term, when
[00:53:55.280 --> 00:53:58.040]   it is very likely to be labeled a certain way,
[00:53:58.040 --> 00:54:00.800]   if you're very likely to be labeled foreground,
[00:54:00.800 --> 00:54:03.520]   you actually make a very strong connection between you
[00:54:03.520 --> 00:54:07.200]   and the pixel and the foreground label,
[00:54:07.200 --> 00:54:09.640]   which is the source in this case.
[00:54:09.640 --> 00:54:13.160]   So if you make a very strong connection here,
[00:54:13.160 --> 00:54:16.520]   it means that you're very unlikely to cut that connection
[00:54:16.520 --> 00:54:18.600]   with all the rest being the same in the network,
[00:54:18.600 --> 00:54:20.800]   you're very unlikely to go cut that connection.
[00:54:20.800 --> 00:54:25.720]   It's much more likely that, for this one, for example,
[00:54:25.720 --> 00:54:27.920]   it's much more likely that you end up
[00:54:27.920 --> 00:54:30.200]   with your cut saturating this edge
[00:54:30.200 --> 00:54:32.800]   versus saturating that connection, obviously.
[00:54:32.800 --> 00:54:35.120]   Because the other connection is a lot thicker pipes,
[00:54:35.120 --> 00:54:38.600]   so you're unlikely to end up saturating that one.
[00:54:38.600 --> 00:54:39.840]   This is a pure data term.
[00:54:39.840 --> 00:54:41.360]   This also means if you want to do a GraphCut
[00:54:41.360 --> 00:54:43.080]   and you only have data terms, it's trivial.
[00:54:43.080 --> 00:54:44.560]   It's just the best--
[00:54:44.560 --> 00:54:48.160]   just choose a label individually, one by one.
[00:54:48.160 --> 00:54:50.200]   There's nothing will change.
[00:54:50.200 --> 00:54:53.080]   But if you add those sideways connections,
[00:54:53.080 --> 00:54:54.600]   these are the smoothness connections
[00:54:54.600 --> 00:54:57.360]   that say I prefer neighbors to have the same label,
[00:54:57.360 --> 00:54:59.320]   then that could influence the solution.
[00:54:59.320 --> 00:55:01.440]   In this case, it will not really--
[00:55:01.440 --> 00:55:04.600]   in this case, the min cut will end up actually doing this,
[00:55:04.600 --> 00:55:07.400]   having this shape, because essentially the data
[00:55:07.400 --> 00:55:09.640]   term is very clear.
[00:55:09.640 --> 00:55:12.640]   And so the small additional connection,
[00:55:12.640 --> 00:55:15.040]   you pay the price here to cut the connection here
[00:55:15.040 --> 00:55:16.480]   and the cut the connection there.
[00:55:16.480 --> 00:55:18.440]   So in this particular example, our boundary
[00:55:18.440 --> 00:55:20.880]   has a length of 2 in some sense.
[00:55:20.880 --> 00:55:23.040]   It cuts two connections.
[00:55:23.040 --> 00:55:25.800]   And for the rest, it follows the data very, very nicely.
[00:55:25.800 --> 00:55:26.600]   So great solution.
[00:55:26.600 --> 00:55:31.160]   And by the way, that's the thing.
[00:55:31.160 --> 00:55:35.120]   You can find a global minimum energy in polynomial time.
[00:55:35.120 --> 00:55:38.880]   So it's not an NP-compete problem.
[00:55:38.880 --> 00:55:40.000]   OK, so how did they do that?
[00:55:40.000 --> 00:55:41.800]   As I said, they will do actually two things.
[00:55:41.800 --> 00:55:43.440]   They will solve this problem, and they
[00:55:43.440 --> 00:55:46.200]   will solve it multiple times, the graph cut problem.
[00:55:46.200 --> 00:55:47.760]   But they will iterate on it also.
[00:55:47.760 --> 00:55:50.960]   So initially, you pay, for example, in this example,
[00:55:50.960 --> 00:55:53.520]   this as the box, the bonding box.
[00:55:53.520 --> 00:55:57.520]   So the meaning of the bonding box is everything I care about
[00:55:57.520 --> 00:55:59.440]   is inside the box.
[00:55:59.440 --> 00:56:01.840]   Therefore, everything that's outside the box
[00:56:01.840 --> 00:56:03.960]   is something I definitely don't care about.
[00:56:03.960 --> 00:56:08.640]   There might be stuff I don't care about inside the box also.
[00:56:08.640 --> 00:56:11.680]   And then what they do is a k-means
[00:56:11.680 --> 00:56:14.960]   for learning the color distribution.
[00:56:14.960 --> 00:56:18.840]   We're not going to discuss what k-means is here.
[00:56:18.840 --> 00:56:23.240]   I'll just briefly explain it.
[00:56:23.240 --> 00:56:29.120]   But essentially, k-means essentially
[00:56:29.120 --> 00:56:31.720]   means that you have a bunch of data,
[00:56:31.720 --> 00:56:38.240]   and you will typically randomly initialize k different seeds.
[00:56:39.200 --> 00:56:45.160]   And then you will determine essentially which values are
[00:56:45.160 --> 00:56:47.800]   closest to each of those k centers.
[00:56:47.800 --> 00:56:51.280]   So for every data point, you will look at which of those k
[00:56:51.280 --> 00:56:52.880]   centers is closest to.
[00:56:52.880 --> 00:56:55.520]   You will assign it to that center,
[00:56:55.520 --> 00:56:57.880]   and then you will fit an average to all of the points
[00:56:57.880 --> 00:56:58.800]   assigned to that center.
[00:56:58.800 --> 00:57:01.320]   You will fit a distribution in ellipsoid
[00:57:01.320 --> 00:57:04.240]   to the data closest to that center.
[00:57:04.240 --> 00:57:06.880]   And so you'll have these k distributions, essentially,
[00:57:06.880 --> 00:57:11.080]   that will approximately model your data distribution.
[00:57:11.080 --> 00:57:13.320]   So that's what k-means is.
[00:57:13.320 --> 00:57:17.000]   And so you iterate, so you fit this.
[00:57:17.000 --> 00:57:18.920]   And then once you fit this, you say, OK, now
[00:57:18.920 --> 00:57:22.280]   given this distribution, all of these different distributions,
[00:57:22.280 --> 00:57:23.200]   you can reassign.
[00:57:23.200 --> 00:57:25.280]   And say, oh, now that I fit this here,
[00:57:25.280 --> 00:57:26.680]   it turns out this pixel is actually
[00:57:26.680 --> 00:57:29.240]   a better fit to this other cluster.
[00:57:29.240 --> 00:57:32.360]   So you reassign to the better cluster,
[00:57:32.360 --> 00:57:33.560]   and then you again refit.
[00:57:33.560 --> 00:57:35.920]   And you do that until you converge.
[00:57:35.920 --> 00:57:39.000]   You converge once you don't flip any assignment anymore.
[00:57:39.000 --> 00:57:40.800]   As soon as you don't fit any assignment anymore,
[00:57:40.800 --> 00:57:43.400]   you haven't changed your data, so you would refit exactly
[00:57:43.400 --> 00:57:46.920]   the same distribution.
[00:57:46.920 --> 00:57:48.240]   Anyway, so that's k-means.
[00:57:48.240 --> 00:57:50.920]   It's a typical way of data-driven way
[00:57:50.920 --> 00:57:57.920]   to fit kind of a multimodal distribution.
[00:57:57.920 --> 00:57:58.880]   OK, so we do that.
[00:57:58.880 --> 00:58:02.840]   We fit that to these pixels, to all these colors there.
[00:58:05.600 --> 00:58:08.840]   So the way it works is you fit that,
[00:58:08.840 --> 00:58:11.480]   and you have now a distribution based on these pixels here
[00:58:11.480 --> 00:58:12.280]   for the background.
[00:58:12.280 --> 00:58:14.000]   You have a distribution based on all the pixels
[00:58:14.000 --> 00:58:15.920]   there for the foreground.
[00:58:15.920 --> 00:58:20.800]   And now you apply this graph cut, the one we described before.
[00:58:20.800 --> 00:58:24.080]   You do that, and you get something like this.
[00:58:24.080 --> 00:58:26.520]   It clearly wants really to keep definitely
[00:58:26.520 --> 00:58:27.520]   all of those red pixels.
[00:58:27.520 --> 00:58:30.040]   There were no red pixels outside, no yellow pixels outside,
[00:58:30.040 --> 00:58:31.200]   so those are clearly inside.
[00:58:31.200 --> 00:58:32.880]   They kept.
[00:58:32.880 --> 00:58:35.480]   The other ones, the green ones, were a bit more of a mix.
[00:58:35.480 --> 00:58:38.240]   They were kind of both in the inside distribution
[00:58:38.240 --> 00:58:40.440]   but also in the outside distribution.
[00:58:40.440 --> 00:58:43.120]   They ended up being cut.
[00:58:43.120 --> 00:58:46.960]   Your total energy goes down because what they did here
[00:58:46.960 --> 00:58:53.640]   was to have a common energy, a consistent energy description
[00:58:53.640 --> 00:58:55.040]   that both covers the--
[00:58:55.040 --> 00:59:02.680]   that contains how the data is fitted with these k-means,
[00:59:02.680 --> 00:59:04.360]   as well as the graph cut problem.
[00:59:04.360 --> 00:59:07.640]   So the two are in one energy formulation,
[00:59:07.640 --> 00:59:12.680]   meaning that they can consistently optimize both steps
[00:59:12.680 --> 00:59:15.320]   separately.
[00:59:15.320 --> 00:59:19.800]   So after one iteration of fitting and doing graph cut,
[00:59:19.800 --> 00:59:22.520]   the combined energy goes down.
[00:59:22.520 --> 00:59:26.920]   And then a second, third, fourth, and then they can stop,
[00:59:26.920 --> 00:59:27.800]   essentially.
[00:59:27.800 --> 00:59:29.960]   This is the segmentation.
[00:59:29.960 --> 00:59:32.480]   This is guaranteed to converge.
[00:59:32.480 --> 00:59:34.840]   That means it's guaranteed to not end up oscillating
[00:59:34.840 --> 00:59:38.440]   because both steps minimize the same energy.
[00:59:38.440 --> 00:59:40.440]   Therefore, you're bound to converge.
[00:59:40.440 --> 00:59:44.440]   It doesn't say that it has to converge to a minimum.
[00:59:44.440 --> 00:59:45.800]   We're not saying that.
[00:59:45.800 --> 00:59:48.520]   Also, we're certainly not saying that it has to converge
[00:59:48.520 --> 00:59:49.800]   to the global minimum.
[00:59:49.800 --> 00:59:56.320]   But it is bound to converge.
[00:59:56.320 --> 01:00:00.200]   So it's bound to stop somewhere and not oscillate.
[01:00:00.200 --> 01:00:02.280]   OK, so here's actually more interesting in a sense.
[01:00:02.280 --> 01:00:04.400]   You can kind of see what's happening.
[01:00:04.400 --> 01:00:09.120]   Initially, you have these k-means.
[01:00:09.120 --> 01:00:11.440]   k in this case would have been 1, 2, 3, 4, 5.
[01:00:11.440 --> 01:00:14.560]   So 5, k was 5 here.
[01:00:14.560 --> 01:00:16.680]   You have the foreground and the background distribution.
[01:00:16.680 --> 01:00:20.200]   Or in a sense, initially, it's foreground and background
[01:00:20.200 --> 01:00:21.960]   together for the red distribution.
[01:00:21.960 --> 01:00:25.680]   And it's only background for the blue distribution.
[01:00:25.680 --> 01:00:27.840]   And things that are well modeled by both,
[01:00:27.840 --> 01:00:30.040]   I kind of, because of normalization,
[01:00:30.040 --> 01:00:34.240]   they're kind of more likely to be background, for example.
[01:00:34.240 --> 01:00:36.400]   Anyway, so what you see is it starts
[01:00:36.400 --> 01:00:38.920]   with both distributions really overlapping.
[01:00:38.920 --> 01:00:41.720]   But then as you refit and you get something that's
[01:00:41.720 --> 01:00:44.760]   much closer as we had here, after one iteration,
[01:00:44.760 --> 01:00:46.400]   you have this.
[01:00:46.400 --> 01:00:49.640]   After this happens and you refit your distributions,
[01:00:49.640 --> 01:00:51.360]   you see all that green stuff, it's
[01:00:51.360 --> 01:00:55.000]   much more likely to be background at this point.
[01:00:55.000 --> 01:00:56.600]   And therefore, in your second iteration,
[01:00:56.600 --> 01:01:01.200]   you can further refine and help make the decision.
[01:01:01.200 --> 01:01:02.160]   So that's what you see here.
[01:01:02.160 --> 01:01:03.400]   And after a while, you can actually
[01:01:03.400 --> 01:01:05.520]   separate those distributions.
[01:01:05.520 --> 01:01:07.840]   Initially, the foreground and the background
[01:01:07.840 --> 01:01:09.880]   were very much overlapping.
[01:01:09.880 --> 01:01:12.320]   Here, they've actually been separated into distributions.
[01:01:12.320 --> 01:01:18.520]   Some more examples.
[01:01:18.520 --> 01:01:19.960]   Of course, it doesn't always work.
[01:01:19.960 --> 01:01:22.920]   You might have to refine and do some more interactions
[01:01:22.920 --> 01:01:23.880]   to solve the problem.
[01:01:26.480 --> 01:01:29.960]   Here's some further-- some database
[01:01:29.960 --> 01:01:33.880]   that they used to tune parameters.
[01:01:33.880 --> 01:01:35.400]   Again, some comparisons.
[01:01:35.400 --> 01:01:37.120]   I'll skip through most of this.
[01:01:37.120 --> 01:01:39.880]   You have these in the slides.
[01:01:39.880 --> 01:01:41.720]   But what I want to show was this here.
[01:01:41.720 --> 01:01:44.240]   If you actually want to refine--
[01:01:44.240 --> 01:01:45.680]   and again, you saw that.
[01:01:45.680 --> 01:01:48.440]   And I think there might have been some of related things
[01:01:48.440 --> 01:01:49.040]   in the exercise.
