
[00:00:00.000 --> 00:00:02.760]   Okay, good morning everyone.
[00:54:17.320 --> 00:54:25.320]   Bunch of other startups and small companies or companies that use maybe Leica also.
[00:54:25.320 --> 00:54:29.320]   There was a startup that was doing drone flights.
[00:54:29.320 --> 00:54:36.320]   They, I mean there's many startups doing drones here in Zurich. This whole ecosystem.
[00:54:36.320 --> 00:54:42.320]   Oterion is actually a startup followed by one of my students, Lauren Smeyer.
[00:54:42.320 --> 00:54:52.320]   They do a bit of computer vision, not so much, but one startup was going to do the self-lying drones for GoPro.
[00:54:52.320 --> 00:54:57.320]   So first, themselves, then they got bought by GoPro. That didn't work out. Then they got bought by Leica.
[00:54:57.320 --> 00:55:06.320]   Leica now has the self-lying scanners. So lighter scanners mounted on drones that can kind of do a map of a building by flying through it and so on.
[00:55:06.320 --> 00:55:13.320]   Leica Geosystems more in general has a lot of computer vision, robotics, you know, and other metrology applications.
[00:55:13.320 --> 00:55:24.320]   They historically were based in Hebrug, or are based in Hebrug next to the border with Austria in Liechtenstein in that corner.
[00:55:24.320 --> 00:55:33.320]   But they now more and more also have a big operation in Zurich, both doing these type of things, but also actually doing a lot of graphics.
[00:55:33.320 --> 00:55:45.320]   So they're part of the bigger hexagon group. And so hexagon has also a good part of their hexagon digital realities platform is also being built here in Zurich.
[00:55:45.320 --> 00:55:55.320]   And that's more on the graphic side, representing digital representations in the cloud of cities and other kind of scans.
[00:55:55.320 --> 00:56:16.320]   Anyway, so that's a little bit of, you know, a little bit of the things, the many things that happen in Zurich in this space is actually, I would say that in the space of computer vision, especially, oh, and I forgot, of course, the Microsoft Mixed with IT and the iLab that I set up.
[00:56:16.320 --> 00:56:25.320]   So actually, I'm only a half time professor at ETH. My other half I'm working for Microsoft and leading this lab here.
[00:56:25.320 --> 00:56:31.320]   The, and what I worked on is essentially this device, the HoloLens 2.
[00:56:31.320 --> 00:56:40.320]   In the meanwhile, we work much more on cloud services. So I have a relatively small team here, about 25 people.
[00:56:40.320 --> 00:56:59.320]   The whole lab is about 30 people. We mostly work on a cloud service to map environments and to be able to, you know, if you think of the digital transformation, the goal is that eventually there will be a digital copy, a digital twin that collects all of the digital information about a particular environment,
[00:56:59.320 --> 00:57:14.320]   a factory or something like this. And what we're in particular focused on is making sure that the digital twin can be one-to-one connected to the real world in the sense that if you walk around with a device like HoloLens or with your mobile phone,
[00:57:14.320 --> 00:57:27.320]   you can kind of have a one-to-one overlay between the real world and the digital twin so that you can both consult the digital twin in the field, in the factory, for example, intuitively by just pointing at something,
[00:57:27.320 --> 00:57:31.320]   or if you wear HoloLens, it's even simpler, you just look at something.
[00:57:31.320 --> 00:57:37.320]   And you see all the layers of information are relevant to whatever your task is or your job is.
[00:57:37.320 --> 00:57:49.320]   But also that if you actually do something, so you now do maintenance or you do something, that information can be also, you know, update, can update in a natural way, can simply update the digital twin also.
[00:57:49.320 --> 00:57:56.320]   So you've got to do a maintenance procedure, that documentation, maintenance procedure, and now I'll get copied over to that machine in the digital twin, et cetera, et cetera.
[00:57:56.320 --> 00:58:06.320]   So we're working on a cloud service that supports that. It's essentially a mapping, a 3D mapping of the environment based on just capturing images as you walk around.
[00:58:06.320 --> 00:58:23.320]   So if you look at Zurich is actually quite exceptional in the sense that in terms of how much computer vision opportunities or, you know, R&D activities going on in Zurich, in the broader Zurich space,
[00:58:23.320 --> 00:58:38.320]   you know, if I look in particular at Mixed Reality, so if you look here, you have quite, you know, Largely's Quest Team, Apple is doing things here in Mixed Reality,
[00:58:38.320 --> 00:58:43.320]   Google is doing things here in Mixed Reality, Magic Leap is doing things, PTC is doing things, et cetera.
[00:58:43.320 --> 00:58:57.320]   So essentially every major player in the field actually has an R&D computer vision team supporting their Mixed Reality applications or products in Zurich.
[00:58:57.320 --> 00:59:09.320]   That's on par essentially with the Bay Area and the Pacific Northwest and, you know, and then Zurich and that's pretty much it worldwide, I think, as the top places for these type of activities, which is, you know, quite interesting.
[00:59:09.320 --> 00:59:14.320]   And so if you're interested in the space, there are opportunities here.
[00:59:14.320 --> 00:59:23.320]   Okay, so now let me just dive and this will be actually, you know, in a number of examples of things that exist in the space.
[00:59:23.320 --> 00:59:36.320]   It's actually biased towards slightly older examples, as we did at the beginning of the lecture, the beginning of your journey in visual computing, I think it's good to also see a little bit of what did people do maybe 10 years ago
[00:59:36.320 --> 00:59:50.320]   in some of those nascent, back then nascent areas, where some of those things you will see now are like, well, of course, and, you know, now you have, like, you know, almost fully self-driving cars, not yet fully, but et cetera.
[00:59:50.320 --> 01:00:02.320]   Here I'll show some of the things more at the beginning of that, et cetera, et cetera, also because there the algorithms are still a little bit more kind of exposed or it's more clear what actually the direct link is to some of the things we'll cover here.
[01:00:02.320 --> 01:00:09.320]   Okay, so here's some examples of first is, you know, all of these kind of 3D and interactive maps and stuff like that.
[01:00:09.320 --> 01:00:17.320]   So you can both have algorithms. This was more the time where there was still some interactive modeling involved in, you can see it's relatively clean and so on.
[01:00:17.320 --> 01:00:31.320]   So, but still you have a lot of image processing and graphics and so on to, even if you do this interactively, nowadays, you know, there's a lot of algorithms and things that do this automatically.
[01:00:31.320 --> 01:00:48.320]   Here's work from one of my students. He works, he worked then at Google and now at WeMo, so still Alphabet on self-driving cars, but essentially this was work, you know, done about more than 10 years ago.
[01:00:48.320 --> 01:00:59.320]   Our goal was to essentially, from camera, similar to Street View, so cameras mounted on vehicles that record the environment.
[01:00:59.320 --> 01:01:04.320]   Our goal was to be able to do the best we could in terms of reconstruction in real time.
[01:01:04.320 --> 01:01:12.320]   So if we record an hour data, we wanted to be able to process it in one hour and build 3D models of environments.
[01:01:12.320 --> 01:01:20.320]   And for doing that, we leveraged graphics processors, so GPUs already back then we did general purpose computing or computer vision computing on graphics processor,
[01:01:20.320 --> 01:01:32.320]   which now is the big thing why NVIDIA stock has gone through the roof is because everybody now needs GPUs, not for doing graphics, you know, which you'll see how GPUs do that in the second half of this lecture,
[01:01:32.320 --> 01:01:39.320]   but actually to train deep neural nets or like things like convolutional neural nets and so on that we also look a little bit at in this lecture.
[01:01:39.320 --> 01:01:47.320]   But back then we were using our GPUs to do this type of more classical geometric processing reconstruction.
[01:01:47.320 --> 01:02:03.320]   Here's also a bit of other older work from my lab, but was kind of one of the first or the first that really combined both the geometric reconstruction of the space with also a semantic interpretation of the scene.
[01:02:03.320 --> 01:02:14.320]   So people have done both separately before, but this was really seeing if we do both, we solve both problems together, we ended up representing it.
[01:02:14.320 --> 01:02:21.320]   So essentially when you what you do is you look at an image and you have neighboring images and you compare those.
[01:02:21.320 --> 01:02:28.320]   And so you say you try to find and we'll look at how to do that in this lecture for a particular point in one image.
[01:02:28.320 --> 01:02:31.320]   You know, you look in the neighboring images like where is that point.
[01:02:31.320 --> 01:02:38.320]   I talked a little bit earlier about in video from one frame to the next, you would try to find back the points how things are moving.
[01:02:38.320 --> 01:02:48.320]   You can also do that if you just change the viewpoint a bit. So I have this viewpoint and I have this viewpoint slightly different and I compare both images and what we'll do is correlation.
[01:02:48.320 --> 01:02:50.320]   This is something you'll see in the third week.
[01:02:50.320 --> 01:02:56.320]   I would actually be absent a third week, but one of my postdocs will replace me for that.
[01:02:56.320 --> 01:02:58.320]   You do a correlation.
[01:02:58.320 --> 01:03:05.320]   So you take thing you represent as a vector and you see if the two vectors actually align or don't align.
[01:03:05.320 --> 01:03:11.320]   And you find things that correspond that way that are likely to correspond.
[01:03:11.320 --> 01:03:20.320]   You do that. And then if I find this point here is this point over here and then that point geometrically given the camera corresponds to this rain space.
[01:03:20.320 --> 01:03:25.320]   Wherever those two rays intersect, that must be where the original 3d point that I see in both images.
[01:03:25.320 --> 01:03:26.320]   And it's the same point.
[01:03:26.320 --> 01:03:30.320]   Then I know that 3d point must have been over there in space.
[01:03:30.320 --> 01:03:35.320]   That's the process that's done here, which is represented here.
[01:03:35.320 --> 01:03:37.320]   So we have a reference image, a bunch of images around it.
[01:03:37.320 --> 01:03:44.320]   We determine correspondence between all those images with this correlation process in the simplest way.
[01:03:44.320 --> 01:03:51.320]   For every point in that reference image, we have now through triangulation determined how far it is.
[01:03:51.320 --> 01:03:55.320]   In that image what you see is it's a representation for the points where we're successful.
[01:03:55.320 --> 01:03:59.320]   The color indicates and codes in a sense how far the point was.
[01:03:59.320 --> 01:04:04.320]   So this is essentially a color representation of the depth.
[01:04:04.320 --> 01:04:08.320]   We do that for all the images all around.
[01:04:08.320 --> 01:04:15.320]   And we've also computed and we want this talk about that and be able to talk about it in this lecture.
[01:04:15.320 --> 01:04:21.320]   But this will be covered in computer vision and then in 3d vision in the masters if you're interested.
[01:04:21.320 --> 01:04:27.320]   We find where all those cameras are geometrically with respect to each other around the building.
[01:04:27.320 --> 01:04:31.320]   So now we have, well, from here this is roughly the things I see from here.
[01:04:31.320 --> 01:04:37.320]   From here there's these things and so I have all these measurements from all around, but they all like separate points.
[01:04:37.320 --> 01:04:45.320]   The process we do then, and this is the result of that, is to say, okay, now let me try to do a segmentation problem.
[01:04:45.320 --> 01:04:52.320]   I will try to find the surface that separates the points that are outside from the points that are inside.
[01:04:52.320 --> 01:04:59.320]   And of course whenever I see a point that's an indication that what's in front is outside and then behind it must be inside.
[01:04:59.320 --> 01:05:11.320]   And as a result of that kind of optimization process that separates inside from outside based on all the evidence that I saw from all the different images surrounding it.
[01:05:11.320 --> 01:05:18.320]   And then we do some regularization which says that essentially we want that surface to be as close as possible to the data.
[01:05:18.320 --> 01:05:27.320]   So if I found a point here and in front it must be empty and behind it must be occupied, I would like to be as close as possible to every measurement I have.
[01:05:27.320 --> 01:05:36.320]   But at the same time, and we'll see this actually in general, at the same time I would like to have a somewhat simple solution.
[01:05:36.320 --> 01:05:41.320]   Typically if I compute this independently per point, I will have something very noisy.
[01:05:41.320 --> 01:05:46.320]   Point here, point there, there will be noise on my measurements and so I will have points going like this.
[01:05:46.320 --> 01:05:53.320]   And if I want an exact solution, my surface will have to go zigzag like this through all those points in an outside point.
[01:05:53.320 --> 01:05:55.320]   So essentially that's not what I want.
[01:05:55.320 --> 01:05:58.320]   What I want is like, okay, I know all those points are roughly here.
[01:05:58.320 --> 01:06:02.320]   I want a smooth surface that gets close to all those points.
[01:06:02.320 --> 01:06:04.320]   This we'll call regularization.
[01:06:04.320 --> 01:06:11.320]   This is actually a general principle for any problem that you'll encounter throughout, not only in this lecture.
[01:06:11.320 --> 01:06:15.320]   It's used a lot in computer vision, but also in many other problems.
[01:06:15.320 --> 01:06:24.320]   It's when you are trying to fit a model to data, but that data is noisy, you don't want to blindly fit the model to data.
[01:06:24.320 --> 01:06:32.320]   You want to fit it to data as much as possible, but also at the same time try to keep that solution somewhat simple.
[01:06:32.320 --> 01:06:37.320]   Because that simple solution is more likely to be the correct solution than not.
[01:06:37.320 --> 01:06:43.320]   Let's say you have a bunch of points that almost look like a line.
[01:06:43.320 --> 01:06:48.320]   You could of course also, if you have 10 points, you could fit a 10 for the polynomial exactly through those 10 points.
[01:06:48.320 --> 01:06:53.320]   And that's going to be an exact zero error fitting solution to that.
[01:06:53.320 --> 01:06:59.320]   So an exact perfect solution to the problem you ask to solve, the curve that goes through those 10 points.
[01:06:59.320 --> 01:07:08.320]   However, you probably all realize or you all know already that if it's close enough, if a straight line going through those points is close enough,
[01:07:08.320 --> 01:07:10.320]   that's probably a much better solution.
[01:07:10.320 --> 01:07:12.320]   In particular, it's a much better solution.
[01:07:12.320 --> 01:07:18.320]   If now for another point you get a new point coming in and you want to predict where that point will show up,
[01:07:18.320 --> 01:07:22.320]   your straight line fitting through the data is probably a much better fit,
[01:07:22.320 --> 01:07:30.320]   much better predictor than your 10th degree polynomial going crazy to somehow go through exactly through all those 10 points that you get initially.
[01:07:30.320 --> 01:07:38.320]   The 11th point will be much closer probably, very, very likely to the straight line than to this 10 for the polynomial.
[01:07:38.320 --> 01:07:43.320]   Same principle, whenever you have to solve essentially an inverse problem,
[01:07:43.320 --> 01:07:49.320]   you're given some data and you're trying to build up the model that underlies the data, that's an inverse problem.
[01:07:49.320 --> 01:07:52.320]   Computer vision is full of inverse problems, right?
[01:07:52.320 --> 01:08:01.320]   Because you get images which are the result of a projection from a 3D model, for example, you get an image, you get a result,
[01:08:01.320 --> 01:08:08.320]   or you get an image and you try to kind of figure out where did that image come from?
[01:08:08.320 --> 01:08:14.320]   What is the underlying model that represents that image was an image projection from?
[01:08:14.320 --> 01:08:17.320]   You're essentially trying to invert that process.
[01:08:17.320 --> 01:08:18.320]   It's typically ill-posed.
[01:08:18.320 --> 01:08:22.320]   For example, you go from a 2D projection to actually a 3D representation.
[01:08:22.320 --> 01:08:26.320]   So information got lost in that projection process, so you don't have all the information.
[01:08:26.320 --> 01:08:34.320]   Now you collect information, enough information to reconstruct, but there's noise, so everything is not very precise, so it's an inverse problem.
[01:08:34.320 --> 01:08:45.320]   Typically, it's really important to combine, to be able to combine the data and your initial, your prior assumptions on how the model should look like.
[01:08:45.320 --> 01:08:51.320]   In particular, typically, you would like, you would prefer a simpler model.
[01:08:51.320 --> 01:09:04.320]   So you apply, for example, in the process on the top there, we just applied the general thing that we preferred smooth solutions in general.
[01:09:04.320 --> 01:09:16.320]   At the bottom, we did exactly the same thing, except that now we also, in addition to getting the depth information extracted from images,
[01:09:16.320 --> 01:09:20.320]   we also looked at the image, and in this case, this was pre-all these deep neural nets.
[01:09:20.320 --> 01:09:28.320]   This was done with a much simpler classifier, and it would essentially classify the scene in, you know, not in two foreground background,
[01:09:28.320 --> 01:09:42.320]   as we said, as we'll see in the next week or so, but in a few more categories, we tried to segment the image in sky, building, vegetation, ground, and stuff.
[01:09:42.320 --> 01:09:49.320]   So we had five categories, so stuff is like everything that's not those four categories.
[01:09:49.320 --> 01:09:58.320]   And now we combine that, and now we do a separate reconstruction process, and instead of just separating it in two classes, inside and outside,
[01:09:58.320 --> 01:10:09.320]   we now segment it in five classes, being ground, so everything below the ground surface is ground, vegetation, so it's volumes, right?
[01:10:09.320 --> 01:10:16.320]   It's three-dimensional volumetric representation, so it's a cube, and you say which voxels, which points in that are vegetation,
[01:10:16.320 --> 01:10:22.320]   which ones are the inside of the building, which ones are below the ground, et cetera.
[01:10:22.320 --> 01:10:31.320]   But we use exactly the same geometric information, but we now have different priors for different types of surfaces.
[01:10:31.320 --> 01:10:42.320]   Vegetation still has the same priors of being smooth in general, but no particular orientation preferences.
[01:10:42.320 --> 01:10:47.320]   But the ground, we actually said the ground, that's actually a surface that tends to have a normal pointing up.
[01:10:47.320 --> 01:10:56.320]   It's mostly a horizontal surface. It can deviate from it if there's evidence for it, but we prefer, in absence of more evidence, we prefer to have it.
[01:10:56.320 --> 01:11:02.320]   It's very cheap to make a large horizontal surface, and it's kind of expensive to make the ground vertical.
[01:11:02.320 --> 01:11:08.320]   That's what mathematically we put in this process, and it's different from there.
[01:11:08.320 --> 01:11:15.320]   Here we just paid a price in our optimization process. We paid a price for every little bit of surface we instantiated.
[01:11:15.320 --> 01:11:25.320]   The ground, you can see here, it's not very well measured, so in the absence of good measurement, and we have to pay a price for surface in the optimization,
[01:11:25.320 --> 01:11:29.320]   we said let's just ignore these surfaces that we don't really know where they are.
[01:11:29.320 --> 01:11:35.320]   Here we say, oh, ground, I prefer to keep extending the ground horizontally. I don't care, that's cheap,
[01:11:35.320 --> 01:11:42.320]   but we have to wrap it up and have it upside down, like you have these little patches there, remember, they're volumetric, so they have a bottom side also.
[01:11:42.320 --> 01:11:47.320]   That's actually very expensive to have ground that actually has a normal pointing down, that doesn't exist.
[01:11:47.320 --> 01:11:52.320]   So that's very unlikely. So suddenly it extends the ground out through the whole surface.
[01:11:52.320 --> 01:12:01.320]   Buildings, well, buildings we like for sats to be mostly vertical, so it's very cheap to have them vertical, but kind of expensive to have them horizontal, et cetera, et cetera.
[01:12:01.320 --> 01:12:11.320]   So the same geometric information, but a little bit of this semantic information to help, and then based on the semantics do something different in terms of our assumptions to be able to do things differently,
[01:12:11.320 --> 01:12:16.320]   suddenly you get qualitatively a much, much better reconstruction.
[01:12:16.320 --> 01:12:25.320]   Anyway, so just to bring in also some of the concepts underlying this, nowadays with deep neural networks you can somehow do all of these at once in one big learning problem,
[01:12:25.320 --> 01:12:30.320]   and much less of than the insights here I revealed.
[01:12:30.320 --> 01:12:36.320]   [INAUDIBLE]
[01:12:36.320 --> 01:12:37.320]   Yes.
[01:12:37.320 --> 01:12:40.320]   [INAUDIBLE]
[01:12:40.320 --> 01:12:49.320]   So the flat roof was actually not very expensive or so. So this would still be fine. We actually also played around with follow-up work that we did with Conrad Schindler.
[01:12:49.320 --> 01:12:56.320]   We actually had a separate building class, so this was actually building seen from the ground mostly that we processed.
[01:12:56.320 --> 01:13:10.320]   Conrad, he looked at aerial images, so he's more in remote sensing and satellite imagery and stuff like that, and so in that case, most of what you see of the building is actually the roof.
[01:13:10.320 --> 01:13:17.320]   And so there they instantiated, they learned a separate class that corresponded to roof, for example, because there they had evidence.
[01:13:17.320 --> 01:13:24.320]   Here the roof is actually not observed from if you walk from the ground, so this is just the default filling of the roof because you actually don't observe it.
[01:13:24.320 --> 01:13:34.320]   You actually see that the roof is missing there because we didn't measure it. It was all images like this from the ground, and you can see that you don't actually see the roof in that one.
[01:13:34.320 --> 01:13:36.320]   That's a good question. Yes?
[01:13:36.320 --> 01:13:53.320]   How accurate is such a system being for any not specific building and type of vegetation if we need to constantly make a different model or different assumptions like the roof will be triangular, the street will be horizontal and so on and so forth?
[01:13:53.320 --> 01:14:05.320]   So the street doesn't have to be horizontal, so the street horizontal is very cheap, like this is just a little bit more expensive and so on, but once you get to this, it starts becoming significantly more expensive, but it's all a trade-off.
[01:14:05.320 --> 01:14:27.320]   If you have strong data evidence, you can see this is not very good data. There's holes, there's stuff. If there's good data, the prior barely matters. It's just that if you are missing data, and so on, then the prior starts dominating and playing a big role, the nice thing about this system was if you had a complete wall missing, it would kind of fill it in by default vertical.
[01:14:27.320 --> 01:14:34.320]   But yes, if it's the wrong assumption, if you're actually looking at more pyramidal construction or so, then it's just going to fill it in the wrong way.
[01:14:34.320 --> 01:14:55.320]   And in data-driven, this is the whole problem of bias, a data set biases and things like this. If you have a startup here and you, let's say, would only train on white people, Caucasian people, and then of course you would try to sell it in whatever in Africa and then it would work terribly, like it wouldn't work at all.
[01:14:55.320 --> 01:15:07.320]   So it's the same problem, right? All machine learning will be dependent on what data you train on. If that's not the same distribution as where you apply it, it's not going to work.
[01:15:07.320 --> 01:15:16.320]   And yeah, so.
[01:15:16.320 --> 01:15:34.320]   Here's another example. I think the video codec is too old to play here. It just has the audio. But this was essentially some relatively simple kind of cameras watching this simple world, like more easy to.
[01:15:34.320 --> 01:15:37.320]   You know, and essentially kind of doing that.
[01:15:37.320 --> 01:15:39.320]   Willow garage will shark team. We just program.
[01:15:39.320 --> 01:15:54.320]   This is another example. Let that play. Willow garage. We like to challenge our raw software by doing short hackathon sprints. These sprints help spark new ideas, test our raw software, and most importantly, our fun.
[01:15:54.320 --> 01:15:56.320]   So by the way, our most recent sprint was a game.
[01:15:56.320 --> 01:15:57.320]   Just as some history.
[01:15:57.320 --> 01:16:08.320]   If any of you are in robotics or are familiar with robotics, Ross, the robotic operating system was actually developed initially at the garage at this period.
[01:16:08.320 --> 01:16:10.320]   You know, a few years before this.
[01:16:10.320 --> 01:16:11.320]   I will go right.
[01:16:11.320 --> 01:16:21.320]   I will go right.
[01:16:21.320 --> 01:16:46.320]   I think the crawler service. So the one that they need. So they had this Google had Google had technology to index the.
[01:16:46.320 --> 01:16:55.320]   You know, to compute search to do search over the web, to be able to actually try that they needed to kind of crowd the whole web and collect the data.
[01:16:55.320 --> 01:17:07.320]   The founder of Willow garage essentially provided that service to Google and got a little bit of stock in exchange right when they started Google.
[01:17:07.320 --> 01:17:19.320]   And so he's a billionaire and decided that he wanted to do robotics and launch the whole willow garage and, you know, resulted in this interesting robot that he made available to the research community.
[01:17:19.320 --> 01:17:28.320]   But also lasting legacy is Ross, the robotic operating system, which is used by everyone.
[01:17:28.320 --> 01:17:40.320]   Everyone in robotics. If you do robotics projects in your, you know, later or in your masters or whatever, you'll be using Ross. By now it's mostly Ross. It's gradually becoming Ross to the next version of it.
[01:17:40.320 --> 01:17:50.320]   He's on the one that very, very early, you know, first kind of prototype or very early kind of mobile I system.
[01:17:50.320 --> 01:17:55.320]   Who has heard of mobile I.
[01:17:55.320 --> 01:18:00.320]   Oh, wow. No one. I mean, one person like.
[01:18:00.320 --> 01:18:09.320]   Okay, so, so mobile I is, I think still the most successful computer vision startup.
[01:18:09.320 --> 01:18:12.320]   In terms of of acquisition.
[01:18:12.320 --> 01:18:16.320]   It was acquired by Intel.
[01:18:16.320 --> 01:18:21.320]   I don't know. Maybe like maybe 10 years ago or like 5, 10 years ago.
[01:18:21.320 --> 01:18:25.320]   For 16 billion. So not bad for a startup.
[01:18:25.320 --> 01:18:33.320]   They're essentially built. They, you know, very likely if you have a car, your parents have a car is very likely their technology is building.
[01:18:33.320 --> 01:18:36.320]   They're not a self driving company, although.
[01:18:36.320 --> 01:18:48.320]   As Intel needed cash, Intel actually resold or like put the company partially back on the, did an IPO so that they could get some money back to.
[01:18:48.320 --> 01:18:52.320]   You know, to fund their, you know, their operations.
[01:18:52.320 --> 01:18:56.320]   So Intel has been struggling a bit.
[01:18:56.320 --> 01:18:59.320]   So the.
[01:18:59.320 --> 01:19:02.320]   So, so essentially.
[01:19:02.320 --> 01:19:08.320]   Mobile I is so they talk about self driving, but mostly they're focused on it.
[01:19:08.320 --> 01:19:13.320]   It is stands for advanced driver assistance systems.
[01:19:13.320 --> 01:19:20.320]   And so it's really about these kind of cameras that are built in. So if, if your car.
[01:19:20.320 --> 01:19:28.320]   Or your parents car, whatever, like the cars that you kind of use sometimes have a camera somehow in the windshield in the front, like a camera that looks at the street and so on.
[01:19:28.320 --> 01:19:31.320]   It's probably a mobile I system. Okay, so they sell.
[01:19:31.320 --> 01:19:37.320]   Not the cameras. They actually sell the chips that process the cameras.
[01:19:37.320 --> 01:19:40.320]   Back in 1996.
[01:19:40.320 --> 01:19:42.320]   In a European project.
[01:19:42.320 --> 01:19:47.320]   I visited Jerusalem and I'm not sure I was the CEO of of mobile.
[01:19:47.320 --> 01:19:55.320]   I had this little chip, this little box in the open and he said, this is a chip, you know, that's going to do great stuff for for cars and stuff.
[01:19:55.320 --> 01:20:00.320]   And it was, it had filters and things like this. Some of the stuff we'll see back then.
[01:20:00.320 --> 01:20:05.320]   It had filters and other things that would help detect in hardware very efficiently the road.
[01:20:05.320 --> 01:20:11.320]   Like in the camera kind of see where the road lines are and stuff like that that would help you keep, you know, have lane warnings.
[01:20:11.320 --> 01:20:23.320]   It would also detect if a car was in front of you and make a signal or if a pedestrian was in front of you, it would all do all those things in hardware with very little power so that it could actually run in real time low latency on the car.
[01:20:23.320 --> 01:20:27.320]   This was back in 96 when this was not a given.
[01:20:27.320 --> 01:20:31.320]   So, so this, this was one of the first system.
[01:20:31.320 --> 01:20:38.320]   And I don't know that you could put in your car and it would kind of tell you, you know, how far you were from colliding with the car or stuff like that.
[01:20:38.320 --> 01:20:46.320]   He's actually one of their videos from long ago and are less likely to be identified by drivers.
[01:20:46.320 --> 01:20:57.320]   The mobile eye system identifies pedestrians and cyclists during daylight hours and can determine if the danger of a collision exists.
[01:20:57.320 --> 01:21:10.320]   In the event of a possible collision, the system issues an alert providing you with up to two seconds to break and prevent an accident.
[01:21:10.320 --> 01:21:12.320]   Okay, you get it, right?
[01:21:12.320 --> 01:21:14.320]   Anyway, so this is not building in most cars.
[01:21:14.320 --> 01:21:19.320]   Actually, I think there's there's rules in many countries in place that force you to have systems like this in place and so on.
[01:21:19.320 --> 01:21:21.320]   But this is where this all started, right?
[01:21:21.320 --> 01:21:26.320]   And so this is someone, you know, this was before starting this company.
[01:21:26.320 --> 01:21:30.320]   I'm not, I was a professor at the university.
[01:21:30.320 --> 01:21:32.320]   He still is, I think, actually.
[01:21:32.320 --> 01:21:36.320]   But this was, but it's also CEO of mobile.
[01:21:36.320 --> 01:21:37.320]   This is another system.
[01:21:37.320 --> 01:21:42.320]   This is some work that actually that that FPGA was actually that board.
[01:21:42.320 --> 01:21:50.320]   As far as I know, was actually our, at least the first prototype, which was developed in Zurich by supercomputing systems, which is kind of an integrated that does.
[01:21:50.320 --> 01:21:57.320]   Transfer kind of code to FPGA implementations or embedded implementations.
[01:21:57.320 --> 01:21:59.320]   What they did, this was.
[01:21:59.320 --> 01:22:01.320]   Daimler.
[01:22:01.320 --> 01:22:06.320]   They had a stereo camera system that would essentially, you know, same thing.
[01:22:06.320 --> 01:22:11.320]   We have two eyes and we perceive depth in front of us, most of us at least.
[01:22:11.320 --> 01:22:16.320]   You know, again, an encoding of the depth based on on color.
[01:22:16.320 --> 01:22:26.320]   From essentially comparing to nearby images that look mostly the same and the small differences actually reflect the depth, the depth of the objects.
[01:22:26.320 --> 01:22:30.320]   They essentially build a very fast hardware implementation.
[01:22:30.320 --> 01:22:40.320]   You know, board that they would build in, I think at the time in some of the high end as classes had this building, you know, 10 or 10 or more years ago.
[01:22:40.320 --> 01:22:44.320]   From this, they went to this kind of what they call stick sales, which was okay to roll.
[01:22:44.320 --> 01:22:52.320]   I don't care about, but I care about representing like with these vertical sticks instead of pixel, it was stick sales.
[01:22:52.320 --> 01:22:58.320]   These vertical sticks were kind of representing kind of clusters of those were representing cars and other objects and so on.
[01:22:58.320 --> 01:23:10.320]   Essentially, they were fitting kind of vertical surfaces to the world, ignoring the road and then every vertical surface was represented compactly by this few sticks and so on and so on.
[01:23:10.320 --> 01:23:21.320]   And then they did optical flow, something we'll also talk about in the sixth week of the semester when we talk about video compression, but you see also here to follow where things are moving and so on.
[01:23:21.320 --> 01:23:25.320]   Optical flow is kind of the algorithm you kind of you would use.
[01:23:25.320 --> 01:23:38.320]   So optical flow and depth and then put that together to essentially track, you know, not just from pixel to pixel and frame to frame, but actually then have a filter that tracks the motion of the object as a whole of the car.
[01:23:38.320 --> 01:23:42.320]   That's in front of you and see if it's on a colliding path with you or not, right?
[01:23:42.320 --> 01:23:48.320]   And then they decide to sound alarm or to hit emergency brake or so on.
[01:23:48.320 --> 01:23:51.320]   Here's an example of kind of their 6D vision system.
[01:23:51.320 --> 01:23:56.320]   This was because it was 3D, but in addition, it also has a vector indicating the motion.
[01:23:56.320 --> 01:23:57.320]   That's another 3D vector.
[01:23:57.320 --> 01:23:59.320]   So they called it 6D.
[01:23:59.320 --> 01:24:07.320]   So here's a project that oops.
[01:24:07.320 --> 01:24:16.320]   This was about relatively simple self driving.
[01:24:16.320 --> 01:24:18.320]   So self driving in the parking lot.
[01:24:18.320 --> 01:24:23.320]   So you drop off your car and then the car goes park itself or the charge itself.
[01:24:23.320 --> 01:24:27.320]   So the charging spot once it's charged, let's go to the car go there.
[01:24:27.320 --> 01:24:35.320]   Once you come back, for example, at the airport, the car comes pick you up at the, you know, and you step in your car and drive.
[01:24:35.320 --> 01:24:38.320]   So we charge is a collaborative project funded by the European Commission.
[01:24:38.320 --> 01:24:44.320]   Paul Ferger was then at the postdoc in ASL.
[01:24:44.320 --> 01:24:49.320]   The robotics lab in the Royal NC Guard.
[01:24:49.320 --> 01:24:51.320]   Then went to Apple, worked on a self driving project.
[01:24:51.320 --> 01:24:55.320]   Now he's one of the leaders at Med-Age.
[01:24:55.320 --> 01:24:59.320]   Using a smartphone app, the parking process is started.
[01:24:59.320 --> 01:25:01.320]   First of all, the vehicle can...
[01:25:01.320 --> 01:25:03.320]   Okay, so you get the idea.
[01:25:03.320 --> 01:25:06.320]   This is some of the stuff we are doing under hood.
[01:25:06.320 --> 01:25:11.320]   Here you see the car is moving and all these rays corresponds to features and things we see.
[01:25:11.320 --> 01:25:12.320]   This was surround.
