
[00:00:00.000 --> 00:00:02.120]   (gentle music)
[00:50:39.260 --> 00:50:41.260]   then P of y would be 1/3,
[00:50:41.260 --> 00:50:44.260]   so because the area is sort of stretched
[00:50:44.260 --> 00:50:48.260]   and then the probability density would need to go lower,
[00:50:48.260 --> 00:50:53.260]   so come back to the linear ramp example,
[00:50:53.260 --> 00:50:58.260]   we have this transformation, y equals the square root of x,
[00:50:58.260 --> 00:51:02.260]   and we want to sort of confirm the PDF by using this,
[00:51:02.260 --> 00:51:05.260]   and I honestly don't think it's a good practice
[00:51:05.260 --> 00:51:12.260]   to omit the y and x there, like Py of y, Px of x, yeah,
[00:51:12.260 --> 00:51:17.260]   so we get determinant of Jacobian this,
[00:51:17.260 --> 00:51:21.260]   and if we take P of y as 2 times the square root of x,
[00:51:21.260 --> 00:51:24.260]   then the square root of x is 2 times y,
[00:51:24.260 --> 00:51:30.260]   so I want to actually go back a bit to this slide,
[00:51:30.260 --> 00:51:33.260]   so this equation, as we see here,
[00:51:33.260 --> 00:51:36.260]   it can be used to compute Py of y,
[00:51:36.260 --> 00:51:39.260]   but it can also be used to compute Px of x,
[00:51:39.260 --> 00:51:42.260]   so if we know the distribution for y,
[00:51:42.260 --> 00:51:47.260]   and we know the transformation from x to y,
[00:51:47.260 --> 00:51:53.260]   we can compute Px of x by just multiplying the determinant,
[00:51:53.260 --> 00:51:57.260]   and this, to my opinion, is actually a bit more natural
[00:51:57.260 --> 00:52:01.260]   because everything there has actually the variable x,
[00:52:01.260 --> 00:52:05.260]   so finally, theoretically, you can also use this,
[00:52:05.260 --> 00:52:07.260]   if you have Py of y, Px of x,
[00:52:07.260 --> 00:52:10.260]   you can use this to determine t,
[00:52:10.260 --> 00:52:13.260]   but that's like a differential equation,
[00:52:13.260 --> 00:52:18.260]   so yeah, not recommended.
[00:52:18.260 --> 00:52:23.260]   All right, so we have seen 1D distributions,
[00:52:23.260 --> 00:52:28.260]   now we want to sample 2D distributions,
[00:52:28.260 --> 00:52:33.260]   so there, we want to draw samples from P of x and y,
[00:52:33.260 --> 00:52:38.260]   if it's separable, so we can treat x and y as sort of independent,
[00:52:38.260 --> 00:52:42.260]   we can sample Px of x and Py of y,
[00:52:42.260 --> 00:52:48.260]   and then, so if they are not, if they are somehow correlated,
[00:52:48.260 --> 00:52:51.260]   we can compute first the marginal density function
[00:52:51.260 --> 00:52:54.260]   by integrating out, for example, y,
[00:52:54.260 --> 00:52:57.260]   and then we can have the conditional
[00:52:57.260 --> 00:53:02.260]   by dividing the joint with the marginal,
[00:53:02.260 --> 00:53:07.260]   and then we first sample the marginal, then the conditional,
[00:53:07.260 --> 00:53:11.260]   so this would be useful when we want to, for example,
[00:53:11.260 --> 00:53:14.260]   this sample of 2D array,
[00:53:14.260 --> 00:53:16.260]   if you have a 2D array of positive numbers
[00:53:16.260 --> 00:53:20.260]   and you want to create a distribution from it,
[00:53:20.260 --> 00:53:27.260]   there, it's typical that the two dimensions are correlated with each other.
[00:53:27.260 --> 00:53:32.260]   But now we come back to this famous example of sampling a disk,
[00:53:32.260 --> 00:53:34.260]   and now we don't want to reject anything,
[00:53:34.260 --> 00:53:39.260]   we want to make full use of all the cases that we have,
[00:53:39.260 --> 00:53:42.260]   so the idea is to use the polar coordinates
[00:53:42.260 --> 00:53:47.260]   because there we can define a disk without using an if/else,
[00:53:47.260 --> 00:53:54.260]   and we want to somehow map 2x to r and theta,
[00:53:54.260 --> 00:54:00.260]   so simply we can think that we will just uniformly sample r
[00:54:00.260 --> 00:54:02.260]   and then sample theta,
[00:54:02.260 --> 00:54:06.260]   but we see that this will fail
[00:54:06.260 --> 00:54:11.260]   because it's not uniform with respect to area,
[00:54:11.260 --> 00:54:15.260]   so here we see this dartboard-like thing,
[00:54:15.260 --> 00:54:20.260]   each cell in this will correspond to the same area
[00:54:20.260 --> 00:54:25.260]   in the same area in the unit square,
[00:54:25.260 --> 00:54:29.260]   so the same number of cases will actually fall in each of these cells,
[00:54:29.260 --> 00:54:33.260]   and the result would be like you have more samples at the center,
[00:54:33.260 --> 00:54:36.260]   but much less at the borders,
[00:54:36.260 --> 00:54:38.260]   and what we want is actually on the right,
[00:54:38.260 --> 00:54:42.260]   where we have uniformly distributed over the entire disk.
[00:54:42.260 --> 00:54:46.260]   So here, so now we don't know,
[00:54:46.260 --> 00:54:52.260]   we don't really know the probability density that we will have for the polar coordinates,
[00:54:52.260 --> 00:54:57.260]   but what we do know is we have the density in Cartesian coordinates,
[00:54:57.260 --> 00:55:00.260]   so we want to somehow combine it to
[00:55:00.260 --> 00:55:04.260]   and then do this area-preserving sampling.
[00:55:04.260 --> 00:55:08.260]   So we first define the desired probability density
[00:55:08.260 --> 00:55:10.260]   in a convenient coordinate system,
[00:55:10.260 --> 00:55:12.260]   which is the Cartesian in this case,
[00:55:12.260 --> 00:55:17.260]   and another coordinate system for parameterization of the samples,
[00:55:17.260 --> 00:55:19.260]   the polar in this case,
[00:55:19.260 --> 00:55:21.260]   and then we want to relate the two PDFs.
[00:55:21.260 --> 00:55:25.260]   So for this we will use the determinant of the Jacobian
[00:55:25.260 --> 00:55:29.260]   to basically translate the PDFs.
[00:55:29.260 --> 00:55:31.260]   And then we do the sampling,
[00:55:31.260 --> 00:55:35.260]   which involves the marginal conditional inversion method.
[00:55:35.260 --> 00:55:41.260]   So let's see how we actually do it for this disk example.
[00:55:41.260 --> 00:55:52.260]   So we first define the uniform density in Cartesian coordinate frame
[00:55:52.260 --> 00:55:54.260]   that we see before, one over pi,
[00:55:54.260 --> 00:55:58.260]   for inside the disk, zero otherwise.
[00:55:58.260 --> 00:56:03.260]   And then we would find these polar coordinates that we like
[00:56:03.260 --> 00:56:07.260]   to parameterize points on a disk.
[00:56:07.260 --> 00:56:12.260]   So x is our cosine theta, y is our sine theta.
[00:56:12.260 --> 00:56:14.260]   That's the transformation,
[00:56:14.260 --> 00:56:20.260]   and we then can use the Jacobian to transform these sampling densities.
[00:56:20.260 --> 00:56:27.260]   So this is the time when I was mentioning before
[00:56:27.260 --> 00:56:29.260]   where we can actually use,
[00:56:29.260 --> 00:56:32.260]   when we know the p-credition of x, y,
[00:56:32.260 --> 00:56:36.260]   and we would know the Jacobian from r theta to x, y,
[00:56:36.260 --> 00:56:43.260]   we can use that to compute the PDF in the polar system for r and theta.
[00:56:43.260 --> 00:56:45.260]   So here is the Jacobian matrix,
[00:56:45.260 --> 00:56:47.260]   take r in the front theta,
[00:56:47.260 --> 00:56:49.260]   take the second column,
[00:56:49.260 --> 00:56:52.260]   and get this and take the determinant.
[00:56:52.260 --> 00:56:54.260]   It's a happy result.
[00:56:54.260 --> 00:56:57.260]   So it's a happy result, just r.
[00:56:57.260 --> 00:57:04.260]   And we can basically substitute all the results that we got,
[00:57:04.260 --> 00:57:10.260]   and we get the p-polar r and theta is just r times p-credition of x and y,
[00:57:10.260 --> 00:57:12.260]   so it's r over pi.
[00:57:12.260 --> 00:57:17.260]   So of course, we remember that we used to have these if-else
[00:57:17.260 --> 00:57:20.260]   in the Cartesian coordinate system.
[00:57:20.260 --> 00:57:23.260]   So here there would actually be if-else,
[00:57:23.260 --> 00:57:26.260]   if r is between 0 and 1,
[00:57:26.260 --> 00:57:29.260]   or if r is less than 1, we get this,
[00:57:29.260 --> 00:57:35.260]   otherwise it's 0, but it's so convenient that we don't need to write it out.
[00:57:35.260 --> 00:57:38.260]   Right, so this is,
[00:57:38.260 --> 00:57:43.260]   if we want to have a uniform distribution in terms of area in Cartesian coordinates,
[00:57:43.260 --> 00:57:46.260]   we need to sample r theta, not all uniformly,
[00:57:46.260 --> 00:57:50.260]   but from such a distribution.
[00:57:50.260 --> 00:57:55.260]   So to do this, what we can do, honestly, if we see that here,
[00:57:55.260 --> 00:58:00.260]   we only have r in it, so theta can be just sampled uniformly,
[00:58:00.260 --> 00:58:02.260]   like it's actually separable,
[00:58:02.260 --> 00:58:05.260]   but we are going to do these steps for marginal and conditional.
[00:58:05.260 --> 00:58:08.260]   For example, we can compute the marginal for r,
[00:58:08.260 --> 00:58:11.260]   so the pdf of r is 2r,
[00:58:11.260 --> 00:58:14.260]   which is the linear ramp that we saw before.
[00:58:14.260 --> 00:58:19.260]   And then the conditional pdf of theta given r is the uniform one,
[00:58:19.260 --> 00:58:26.260]   1 over 2pi, so we just will be able to sample
[00:58:26.260 --> 00:58:30.260]   using the inversion method for both by giving,
[00:58:30.260 --> 00:58:32.260]   when we are given two x's,
[00:58:32.260 --> 00:58:35.260]   so r would be equal to the square root of x1,
[00:58:35.260 --> 00:58:38.260]   and theta is 2pi times x2,
[00:58:38.260 --> 00:58:40.260]   and this will be,
[00:58:40.260 --> 00:58:45.260]   this will give the correct area preserving sampling result.
[00:58:45.260 --> 00:58:52.260]   So if we compare this to the naive method
[00:58:52.260 --> 00:58:55.260]   of sampling r uniformly and sampling theta uniformly,
[00:58:55.260 --> 00:58:58.260]   we see that this one on the left,
[00:58:58.260 --> 00:59:01.260]   the naive method is not aqueous area,
[00:59:01.260 --> 00:59:05.260]   it samples much more densely in the center,
[00:59:05.260 --> 00:59:10.260]   but if we also draw out the cells that would map to the same number of c's,
[00:59:10.260 --> 00:59:16.260]   we see that each of these, say, tiles are actually covering the same area,
[00:59:16.260 --> 00:59:20.260]   and we actually get sampling results that we want.
[00:59:20.260 --> 00:59:23.260]   So any questions for this part?
[00:59:23.260 --> 00:59:35.260]   So we would go over the general recipe to do area preserving sampling,
[00:59:35.260 --> 00:59:41.260]   or if there is the translation between coordinate systems,
[00:59:41.260 --> 00:59:48.260]   so if we can define the desired probability density more easily in one coordinate system,
[00:59:48.260 --> 00:59:54.260]   and parameterize the samples in another coordinate system,
[00:59:54.260 --> 00:59:59.260]   we can relate the PDFs using basically the transformation
[00:59:59.260 --> 01:00:04.260]   between the two coordinate systems and computing its Jacobian,
[01:00:04.260 --> 01:00:15.260]   and then we can actually get the PDF in the coordinate system that we used in step two.
[01:00:15.260 --> 01:00:20.260]   So in the disk example is the polar coordinates,
[01:00:20.260 --> 01:00:27.260]   and then we can use this marginal conditional or the separable methods
[01:00:27.260 --> 01:00:35.260]   to compute 1D PDFs, and then we do the sampling of this 1D PDFs.
[01:00:35.260 --> 01:00:45.260]   More renderings?
[01:00:45.260 --> 01:00:48.260]   Yeah, I think this is also, yeah, this is not ambient occlusion,
[01:00:48.260 --> 01:00:55.260]   you have different colors of light sources.
[01:00:55.260 --> 01:01:03.260]   So then we're going to actually sampling this sphere.
[01:01:03.260 --> 01:01:08.260]   I think we discussed quite a bit about that in the first half of this lecture.
[01:01:08.260 --> 01:01:13.260]   So to be able to sample a unit sphere,
[01:01:13.260 --> 01:01:17.260]   so what we mean by sampling a sphere is that we sample a point on the sphere,
[01:01:17.260 --> 01:01:26.260]   so it would be still 2D manifold in this 3D space,
[01:01:26.260 --> 01:01:32.260]   so we still would only need two x's,
[01:01:32.260 --> 01:01:39.260]   and the intuitive way to parameterize with the spherical coordinate system,
[01:01:39.260 --> 01:01:44.260]   so the spherical coordinate system can have like r theta and phi,
[01:01:44.260 --> 01:01:48.260]   but we don't need r because it's a unit sphere.
[01:01:48.260 --> 01:01:54.260]   So we can uniformly sample theta because it's within 0 to pi,
[01:01:54.260 --> 01:02:00.260]   we multiply that by pi, and for phi we multiply by 2 pi,
[01:02:00.260 --> 01:02:06.260]   and of course that's wrong because it's not uniform with respect to area,
[01:02:06.260 --> 01:02:15.260]   and here we have actually the correct solution after some working out,
[01:02:15.260 --> 01:02:20.260]   which involves doing some r cosine,
[01:02:20.260 --> 01:02:25.260]   and here is the algorithm for actually generating a sample
[01:02:25.260 --> 01:02:29.260]   and converting it actually back to the Cartesian coordinates.
[01:02:29.260 --> 01:02:35.260]   So as you can see here, there are one, two, three, four, five trigonometry functions
[01:02:35.260 --> 01:02:40.260]   and actually r cosine, which is not good when you have to call this function
[01:02:40.260 --> 01:02:44.260]   like millions of times, so this is one of the better methods
[01:02:44.260 --> 01:02:49.260]   where you have only two cosine, two like a cosine and a sine,
[01:02:49.260 --> 01:02:55.260]   and so this is achieved, or one of the ways to achieve this
[01:02:55.260 --> 01:03:01.260]   is by using this hat box theorem which states the surface area of a sphere
[01:03:01.260 --> 01:03:06.260]   between any two horizontal planes is equal to the corresponding area
[01:03:06.260 --> 01:03:10.260]   on the circumscribing cylinder.
[01:03:10.260 --> 01:03:17.260]   So if this sphere is a unit sphere centered at the origin with radius of 1,
[01:03:17.260 --> 01:03:23.260]   the circumscribing cylinder would be also centered at the origin
[01:03:23.260 --> 01:03:27.260]   with the height of 2 and the radius of 1,
[01:03:27.260 --> 01:03:32.260]   and the theorem basically says that this blue part, this lighter blue part
[01:03:32.260 --> 01:03:38.260]   of these two shapes are of the same surface area.
[01:03:38.260 --> 01:03:46.260]   So since those two are typically on two different corner systems,
[01:03:46.260 --> 01:03:51.260]   we probably want to know what is the determinant of the Jacobian,
[01:03:51.260 --> 01:03:59.260]   but given this theorem, we would be able to say deduce
[01:03:59.260 --> 01:04:05.260]   that the determinant of Jacobian is actually one
[01:04:05.260 --> 01:04:12.260]   between I think the area, the surface area on the cylinder and on the sphere,
[01:04:12.260 --> 01:04:17.260]   but I think on the sphere it would be maybe better explained with solid angles
[01:04:17.260 --> 01:04:21.260]   but not exactly sure.
[01:04:21.260 --> 01:04:32.260]   So this would mean that uniform areas on a cylinder project to uniform areas on a sphere.
[01:04:32.260 --> 01:04:38.260]   And when we want to actually sample the sphere, we can sample the cylinder
[01:04:38.260 --> 01:04:43.260]   and then project the value back onto the sphere.
[01:04:43.260 --> 01:04:47.260]   So this is what this improved algorithm does.
[01:04:47.260 --> 01:04:51.260]   So it first takes this point on the cylinder,
[01:04:51.260 --> 01:04:57.260]   so we could say we take one sample along the z dimension
[01:04:57.260 --> 01:05:01.260]   and then we take an angle 5,
[01:05:01.260 --> 01:05:10.260]   and then we would want to map the point on the cylinder to a point on the sphere
[01:05:10.260 --> 01:05:20.260]   that is not quite, but a little bit inside because we are now a sphere not on a cylinder anymore.
[01:05:20.260 --> 01:05:27.260]   So questions about this?
[01:05:27.260 --> 01:05:32.260]   So when we can sample a sphere, we can also directly sample a hemisphere
[01:05:32.260 --> 01:05:34.260]   using the same method.
[01:05:34.260 --> 01:05:41.260]   So basically now we have a smaller cylinder because we have only half the sphere,
[01:05:41.260 --> 01:05:46.260]   but there is also the thing that we were talking about before,
[01:05:46.260 --> 01:05:51.260]   like we were showing how to uniformly sample, how it is beneficial sometimes
[01:05:51.260 --> 01:05:54.260]   to do cosine weighted hemispherical sampling,
[01:05:54.260 --> 01:05:58.260]   say basically by taking into account a cosine theta,
[01:05:58.260 --> 01:06:03.260]   which is the angle between a direction and the surface normal.
[01:06:03.260 --> 01:06:09.260]   So what we could do is to compute the marginal and the conditional density,
[01:06:09.260 --> 01:06:16.260]   so we define the cosine weighted, so we define the PDF and then we do the sampling,
[01:06:16.260 --> 01:06:20.260]   but there is also like a shortcut to do this,
[01:06:20.260 --> 01:06:24.260]   so we can first uniformly sample the disk
[01:06:24.260 --> 01:06:30.260]   and we can then project these points on the surface of the hemisphere.
[01:06:30.260 --> 01:06:38.260]   So basically we sample these black points and we move upwards to find where it is on the hemisphere.
[01:06:38.260 --> 01:06:48.260]   So that actually gives us the desired distribution of cosine theta over pi.
[01:06:48.260 --> 01:06:56.260]   Alright.
[01:06:56.260 --> 01:07:05.260]   I think we have covered some sampling methods in this lecture,
[01:07:05.260 --> 01:07:14.260]   mostly circle related things, so disks, hemispheres, cylinders, those things,
[01:07:14.260 --> 01:07:22.260]   but in rendering actually we would need to sample a lot of other shapes like triangles
[01:07:22.260 --> 01:07:26.260]   and also we would need to sample discrete PDFs,
[01:07:26.260 --> 01:07:31.260]   which basically has some, is an array, 1D or 2D,
[01:07:31.260 --> 01:07:36.260]   and we would need to be able to choose one value from it.
[01:07:36.260 --> 01:07:42.260]   And this would be very helpful, for example when we are doing the environment maps.
[01:07:42.260 --> 01:07:49.260]   So you can find more content on the sampling in chapter 13 of the textbook,
[01:07:49.260 --> 01:08:02.260]   and here is just, yeah, here is an aged page of some sampling routines of various distributions,
[01:08:02.260 --> 01:08:06.260]   yeah, from 30 years ago.
[01:08:06.260 --> 01:08:11.260]   So yeah, we have some interesting methods,
[01:08:11.260 --> 01:08:18.260]   I think you can also use that as reference for implementing some of the assignments.
[01:08:18.260 --> 01:08:26.260]   And actually within rendering there are more dimensions that we want to integrate
[01:08:26.260 --> 01:08:29.260]   other than the surface area.
[01:08:29.260 --> 01:08:33.260]   So for example when we are actually shooting a camera array,
[01:08:33.260 --> 01:08:37.260]   we want to actually pick a point on the image plane that we want to sample,
[01:08:37.260 --> 01:08:40.260]   so this will be related with anti-aliasing,
[01:08:40.260 --> 01:08:49.260]   and also the surface of area lights for more efficiently render like direct illumination, for example.
[01:08:49.260 --> 01:08:53.260]   And then if we want to achieve depth of field,
[01:08:53.260 --> 01:08:56.260]   we have actually, the camera is not a paint hole anymore,
[01:08:56.260 --> 01:09:02.260]   we have like some shape for the camera aperture and we would like to sample that.
[01:09:02.260 --> 01:09:05.260]   And then we have another source of blur,
[01:09:05.260 --> 01:09:08.260]   which is because of motion of objects in the scene,
[01:09:08.260 --> 01:09:15.260]   and this will basically require sampling a random point in time.
[01:09:15.260 --> 01:09:21.260]   And furthermore, more complicated cases would involve if we have not just one light,
[01:09:21.260 --> 01:09:23.260]   but multiple lights, like millions of lights,
[01:09:23.260 --> 01:09:28.260]   how do we effectively sample that at each point of the scene?
[01:09:28.260 --> 01:09:33.260]   So typical objective would be,
[01:09:33.260 --> 01:09:39.260]   I want to sample lights that are stronger and closer to the current point,
[01:09:39.260 --> 01:09:43.260]   and there are many methods to achieve that,
[01:09:43.260 --> 01:09:51.260]   and then we need to, for global illumination, simulate multiple bounces of light,
[01:09:51.260 --> 01:09:56.260]   like not just whether a light source is visible to me,
[01:09:56.260 --> 01:10:03.260]   but how light would travel after multiple bounces before hitting the camera,
[01:10:03.260 --> 01:10:10.260]   and last but not least, there is plenty of scenes with participating media effects,
[01:10:10.260 --> 01:10:15.260]   or volumetric effects such as smoke or clouds or even fire,
[01:10:15.260 --> 01:10:20.260]   and then there we would not only sample like a 2D surface,
[01:10:20.260 --> 01:10:22.260]   but actually a 3D volume,
[01:10:22.260 --> 01:10:26.260]   and more decisions must be made there,
[01:10:26.260 --> 01:10:33.260]   which makes it more important to develop techniques to more efficiently do important sampling
[01:10:33.260 --> 01:10:36.260]   to reduce the variance there.
[01:10:36.260 --> 01:10:41.260]   And in addition to the distributions,
[01:10:41.260 --> 01:10:45.260]   we can also consider where do we actually want to,
[01:10:45.260 --> 01:10:49.260]   like how do we actually generate our random numbers,
[01:10:49.260 --> 01:10:53.260]   so how to actually generate our crises.
[01:10:53.260 --> 01:10:59.260]   So far we've worked under the assumption that we are doing random sampling,
[01:10:59.260 --> 01:11:02.260]   so on the top left, which is uniform,
[01:11:02.260 --> 01:11:06.260]   and it has the simplicity as a benefit,
[01:11:06.260 --> 01:11:12.260]   but as you can see, the sample is generated from it,
[01:11:12.260 --> 01:11:14.260]   it somehow cluttered together,
[01:11:14.260 --> 01:11:21.260]   or on the other hand, it leaves big empty holes in other places,
[01:11:21.260 --> 01:11:24.260]   which is undesirable because that can,
[01:11:24.260 --> 01:11:31.260]   no matter if even if your PDF is good, you just don't cover what you need to cover.
[01:11:31.260 --> 01:11:38.260]   So to ameliorate those problems, there are many ways to do that,
[01:11:38.260 --> 01:11:41.260]   so some take the stratified approach,
[01:11:41.260 --> 01:11:46.260]   so we subdivide the hypercube,
[01:11:46.260 --> 01:11:51.260]   or the unit hypercube into smaller cubes,
[01:11:51.260 --> 01:11:55.260]   and pick random samples in each of them,
[01:11:55.260 --> 01:12:03.260]   and we can even go crazier to disallow some sort of alignment
[01:12:03.260 --> 01:12:07.260]   between the samples, such as with the n-rooks algorithm,
[01:12:07.260 --> 01:12:11.260]   we can also have more advanced methods,
[01:12:11.260 --> 01:12:17.260]   so these in general are called this quasi Monte Carlo integration,
[01:12:17.260 --> 01:12:23.260]   with this random but not really uniformly,
[01:12:23.260 --> 01:12:27.260]   with this random but not actually so random,
[01:12:27.260 --> 01:12:31.260]   they are assumed to improve the convergence rate,
[01:12:31.260 --> 01:12:36.260]   especially when your integrand is continuous,
[01:12:36.260 --> 01:12:40.260]   like it doesn't have these continuities everywhere.
[01:12:40.260 --> 01:12:44.260]   So this will actually be covered in a later lecture for the course,
[01:12:44.260 --> 01:12:52.260]   so this is just a simple overview of what is coming.
[01:12:52.260 --> 01:12:57.260]   So eventually maybe we just use this,
[01:12:57.260 --> 01:13:01.260]   go a bit deeper into the stratification,
[01:13:01.260 --> 01:13:05.260]   so stratified sampling would subdivide integration domain
[01:13:05.260 --> 01:13:08.260]   into disjoint regions, for example,
[01:13:08.260 --> 01:13:11.260]   like even a distributed intervals,
[01:13:11.260 --> 01:13:15.260]   and we would place one random sample in each region,
[01:13:15.260 --> 01:13:20.260]   so basically we say here we have 10 subintervals,
[01:13:20.260 --> 01:13:22.260]   and we sample in each of them,
[01:13:22.260 --> 01:13:28.260]   so there the cluttering can only happen at the edge of these subintervals,
[01:13:28.260 --> 01:13:32.260]   not arbitrarily everywhere,
[01:13:32.260 --> 01:13:39.260]   when we do uniform sampling in the entire domain.
[01:13:39.260 --> 01:13:45.260]   So this is probably not going to increase variance,
[01:13:45.260 --> 01:13:49.260]   and often reduces variance considerably,
[01:13:49.260 --> 01:13:52.260]   so I think this actually goes one step closer
[01:13:52.260 --> 01:13:57.260]   towards the integration methods that we discussed,
[01:13:57.260 --> 01:14:00.260]   in a question before,
[01:14:00.260 --> 01:14:04.260]   and also it would actually suffer the same problem,
[01:14:04.260 --> 01:14:07.260]   because if you have two d-intervals,
[01:14:07.260 --> 01:14:08.260]   three d-intervals,
[01:14:08.260 --> 01:14:11.260]   if you want to achieve the same stratification,
[01:14:11.260 --> 01:14:20.260]   the number of, say, stratas, the number of these subregions
[01:14:20.260 --> 01:14:24.260]   have to grow exponentially, which is undesirable,
[01:14:24.260 --> 01:14:29.260]   so that's why people started to develop other quasi-monocular methods
[01:14:29.260 --> 01:14:35.260]   with better random number, say, sequences,
[01:14:35.260 --> 01:14:39.260]   which we will learn more in the next,
[01:14:39.260 --> 01:14:43.260]   well, in later parts of this class.
[01:14:43.260 --> 01:14:50.260]   So are there other questions about the class in general?
[01:14:50.260 --> 01:14:55.260]   Okay, pretty good.
[01:14:55.260 --> 01:14:59.260]   Yeah, so with that,
[01:14:59.260 --> 01:15:03.260]   I don't think I have any more to cover today.
[01:15:03.260 --> 01:15:09.260]   Do you want to actually cover the part that you didn't, on Tuesday?
[01:15:09.260 --> 01:15:13.260]   Yeah, I mean, I think Rajesh left some part out
[01:15:13.260 --> 01:15:19.260]   due to time on Tuesday, and yeah.
[01:15:19.260 --> 01:15:20.260]   All right.
[01:15:20.260 --> 01:15:22.260]   Hello, everyone.
[01:15:22.260 --> 01:15:25.260]   So last time I talked about BRDFs,
[01:15:25.260 --> 01:15:31.260]   which is what we will use to specify the properties of the material.
[01:15:31.260 --> 01:15:34.260]   So as we talked about last time,
[01:15:34.260 --> 01:15:40.260]   the BRDF is essentially a function of four variables,
[01:15:40.260 --> 01:15:45.260]   or incoming light direction, outgoing light direction,
[01:15:45.260 --> 01:15:48.260]   and you can parameterize that by theta and phi,
[01:15:48.260 --> 01:15:52.260]   as we saw in a spherical coordinate system.
[01:15:52.260 --> 01:15:55.260]   So essentially it's a four-dimensional function
[01:15:55.260 --> 01:15:58.260]   that depends on both the incoming light direction
[01:15:58.260 --> 01:16:00.260]   and the outgoing light direction.
[01:16:00.260 --> 01:16:03.260]   So all these materials that you see in the real world,
[01:16:03.260 --> 01:16:08.260]   they have a BRDF that we want to ideally capture
[01:16:08.260 --> 01:16:14.260]   and then make sure that our algorithm, they represent them faithfully.
[01:16:14.260 --> 01:16:17.260]   So there are devices that people have built
[01:16:17.260 --> 01:16:22.260]   that allow you to capture a material from real world.
[01:16:22.260 --> 01:16:27.260]   So it consists of basically a platform where you place a sample of the material,
[01:16:27.260 --> 01:16:32.260]   and it has a camera and a light,
[01:16:32.260 --> 01:16:37.260]   and then a gantry and setup that allows you to basically
[01:16:37.260 --> 01:16:39.260]   rotate the light and the camera,
[01:16:39.260 --> 01:16:45.260]   and what you do is you change a couple of degrees of light direction,
[01:16:45.260 --> 01:16:48.260]   take a picture, change a couple of more degrees, take a light direction.
[01:16:48.260 --> 01:16:51.260]   So then you cover the entire hemisphere,
[01:16:51.260 --> 01:16:55.260]   essentially with combinations of light and camera movements,
[01:16:55.260 --> 01:16:59.260]   and take a picture essentially of each of those directions.
[01:16:59.260 --> 01:17:06.260]   So as you can imagine, even if you sample like one degree in each direction,
[01:17:06.260 --> 01:17:12.260]   and you cover from zero to 90 degrees this way
[01:17:12.260 --> 01:17:15.260]   and zero to 2 pi this way,
[01:17:15.260 --> 01:17:20.260]   you would have something like 90 times 180 times 90 times 180 samples.
[01:17:20.260 --> 01:17:26.260]   And those can generate like a lot of data, so per material.
[01:17:26.260 --> 01:17:30.260]   And people have done that in real life, not only that,
[01:17:30.260 --> 01:17:35.260]   but because we also discussed earlier that all the light response
[01:17:35.260 --> 01:17:38.260]   is dependent on the wavelength of the light.
[01:17:38.260 --> 01:17:42.260]   So we can add yet another dimension to our BIDF
[01:17:42.260 --> 01:17:45.260]   that takes into account the wavelength of the light.
[01:17:45.260 --> 01:17:49.260]   So that way now you're generating even more samples.
[01:17:49.260 --> 01:17:53.260]   So these are huge data files that you can use that
[01:17:53.260 --> 01:17:59.260]   and actually get a realistic response to an actual physical material.
[01:17:59.260 --> 01:18:03.260]   And then we build our models like the microfaceted model.
[01:18:03.260 --> 01:18:08.260]   We want to make sure that they in some way represent the materials
[01:18:08.260 --> 01:18:10.260]   that are in real life.
[01:18:10.260 --> 01:18:14.260]   So as you can try some of these data files,
[01:18:14.260 --> 01:18:18.260]   so there are some other different kinds of set up,
[01:18:18.260 --> 01:18:21.260]   different labs have, this can get expensive.
[01:18:21.260 --> 01:18:24.260]   And here is one of the earliest attempts
[01:18:24.260 --> 01:18:26.260]   of putting out some of the materials.
[01:18:26.260 --> 01:18:30.260]   So all these spheres are rendered using the data
[01:18:30.260 --> 01:18:34.260]   that was taken from actual measurements of different surfaces.
[01:18:34.260 --> 01:18:39.260]   So some of them are fabrics, some of them are painted materials,
[01:18:39.260 --> 01:18:42.260]   and some of them are conductors.
[01:18:42.260 --> 01:18:47.260]   So all these hundred samples are available at the website.
[01:18:47.260 --> 01:18:51.260]   Once you have this data, you can read in that data,
[01:18:51.260 --> 01:18:55.260]   and instead of using this formula for BIDF,
[01:18:55.260 --> 01:18:58.260]   you can just use that data directly that was measured.
[01:18:58.260 --> 01:19:00.260]   You can render objects using that.
[01:19:00.260 --> 01:19:04.260]   So this is an example of measuring a nickel-like material
[01:19:04.260 --> 01:19:07.260]   and then using that data to directly render a teapot.
[01:19:07.260 --> 01:19:11.260]   It's the same thing with a different kind of material, a fabric.
[01:19:11.260 --> 01:19:14.260]   So this particular data set for 100 materials
[01:19:14.260 --> 01:19:17.260]   is available from the Merle data site.
[01:19:17.260 --> 01:19:21.260]   This was done a while ago, but it's still pretty popular.
[01:19:21.260 --> 01:19:24.260]   So this was a set of simple materials,
[01:19:24.260 --> 01:19:28.260]   and then people went in and did some more complex materials
[01:19:28.260 --> 01:19:31.260]   that are anisotropic in nature,
[01:19:31.260 --> 01:19:34.260]   that have color-changing properties,
[01:19:34.260 --> 01:19:36.260]   and these are also wavelength-dependent.
[01:19:36.260 --> 01:19:38.260]   So these are huge data files.
[01:19:38.260 --> 01:19:40.260]   They are actually spectral in nature,
[01:19:40.260 --> 01:19:42.260]   which means wavelength-dependent,
